"grappe","dist_popcenter","dist_border","dist_road","dist_admctr","af_bio_1","af_bio_8","af_bio_12","af_bio_13","af_bio_16","popdensity","hybrid_V8","ssa_aez09","afmnslp_pct","srtm_1k","twi","sq1","sq2","sq3","sq4","sq5","sq6","sq7","anntot_avg","wetQ_avg","wetQ_avgstart","h2017_tot","h2017_wetQ","h2017_wetQstart","ndvi_avg","ndvi_max","h2017_ndvi_avg","h2017_ndvi_max","type","lat_dd_mod","lon_dd_mod","hors_mali","hors_mali_utm","erreur_projection","hors_mali_reel","proche_frontiere","dans_eau_suspect","zone_humide_twi","zone_non_cultivee","zone_inhabitee","erreur_saisie","derive_gps","exploitation","passage","cluster","doublon","nb_grappes_cluster","nb_passages_cluster","nb_exploitations_cluster","origine_doublon","distance_centre","suspect_distance","score","niveau","decision","surface_gps_m2","surface_gps_ha","hybrid_V8_prop","surface_cultivee_ha"
1,19,94,4,19,292,284,624,210,504,140,10,312,1.5,64,14,1,1,1,1,1,1,1,560,426,18,644,18,498,0.2921,0.3839,0.3142,0.3503,"offset",14.6111907855,-11.3652868033,0,0,0,0,60594.3241935015,1,0,0,0,0,0,1,1,0,0,746,1,4,"Non_doublon",579482.98993322,0,1,"A_verifier","Verifier_manuel",31401.5737457955,3.14015737457955,0.1,0.314015737457955
2,16,92,3,16,292,284,627,210,506,130,7,312,1.5,63,14,1,1,1,1,1,1,1,564,429,19,646,18,505,0.2846,0.3727,0.3023,0.3472,"offset",14.5785269451,-11.3795467759,0,0,0,0,61459.5987314562,1,0,0,0,0,0,1,1,0,0,746,1,4,"Non_doublon",580391.716382215,0,1,"A_verifier","Verifier_manuel",31401.5737457843,3.14015737457843,0.07,0.21981101622049
3,12,77,4,12,292,286,618,210,506,50,3,312,1.6,46,14,1,1,1,1,1,1,1,561,425,19,632,18,504,0.2774,0.3587,0.291,0.3263,"offset",14.5727195171,-11.5036226588,0,0,0,0,51435.3444476799,1,0,0,0,0,0,1,1,0,0,746,1,4,"Non_doublon",593894.410395331,0,1,"A_verifier","Verifier_manuel",31401.5737457434,3.14015737457434,0.03,0.0942047212372301
4,5,82,1,5,292,283,638,212,515,2250,25,312,2.1,42,14,1,1,1,1,1,1,1,573,446,19,662,18,530,0.2709,0.3443,0.2643,0.3368,"offset",14.469902561,-11.4219397555,0,0,0,0,66034.4068756889,1,0,0,0,0,0,1,1,0,0,746,1,4,"Non_doublon",583055.591871416,0,1,"A_verifier","Verifier_manuel",31401.5737458197,3.14015737458197,0.25,0.785039343645494
5,7,79,2,7,292,282,643,214,520,1770,26,312,3.4,50,14,1,1,1,1,1,1,1,586,450,19,685,18,545,0.2797,0.3566,0.255,0.3253,"offset",14.4322335689,-11.4794761157,0,0,0,0,64612.6043661228,1,0,0,0,0,0,1,1,0,0,746,1,4,"Non_doublon",588769.227419713,0,1,"A_verifier","Verifier_manuel",31401.5737458211,3.14015737458211,0.26,0.81644091739135
6,66,34,16,66,295,294,529,192,431,220,12,312,1.9,27,14,1,1,1,1,1,1,1,523,393,19,624,17,483,0.2775,0.3537,0.2968,0.3293,"offset",14.6976500984,-11.9773298154,0,0,0,0,8227.18847958631,0,0,0,0,0,0,1,1,0,0,746,1,4,"Non_doublon",648303.223475851,0,0,"Bon","Garder",31401.5737457545,3.14015737457545,0.12,0.376818884949055
7,50,41,5,50,298,301,586,202,472,150,34,312,1.7,34,13,1,1,1,1,1,1,1,548,414,19,636,17,488,0.299,0.3791,0.2971,0.3368,"offset",14.6190630039,-11.8564269967,0,0,0,0,22662.9561439409,0,0,0,0,0,0,1,1,0,0,746,1,4,"Non_doublon",633509.967284254,0,0,"Bon","Garder",31401.5737457788,3.14015737457788,0.34,1.06765350735648
8,41,49,2,41,299,302,605,206,488,200,29,312,1.8,35,15,1,1,1,1,1,1,1,548,414,19,650,17,490,0.2977,0.3787,0.2968,0.3321,"offset",14.6113794257,-11.7734347613,0,0,0,0,28818.9602665938,0,0,0,0,0,0,1,1,0,0,746,1,4,"Non_doublon",624251.659251027,0,0,"Bon","Garder",31401.5737458258,3.14015737458258,0.29,0.910645638628948
9,23,63,3,23,294,292,622,213,511,290,29,312,2,39,15,1,1,1,1,1,1,1,556,422,19,656,18,515,0.296,0.3748,0.2846,0.3147,"offset",14.5191721805,-11.6417013219,0,0,0,0,45442.0638297315,0,0,0,0,0,0,1,1,0,0,746,1,4,"Non_doublon",608092.705360593,0,0,"Bon","Garder",31401.5737456442,3.14015737456442,0.29,0.910645638623681
10,89,42,11,89,294,296,388,139,329,140,0,312,1.6,68,13,3,3,3,2,2,2,3,441,335,19,535,17,415,0.2143,0.274,0.2116,0.2613,"comm_ctr",15.2077182238,-11.7025599862,0,0,0,0,14123.352003222,0,0,0,0,0,0,1,1,1,1,2,1,1,"Meme_zone_jittering_legitime",631581.336833579,0,1,"A_verifier","Fusionner_jittering",31401.5737457708,3.14015737457708,0,0
11,89,42,11,89,294,296,388,139,329,140,0,312,1.6,68,13,3,3,3,2,2,2,3,441,335,19,535,17,415,0.2143,0.274,0.2116,0.2613,"comm_ctr",15.2077182238,-11.7025599862,0,0,0,0,14123.352003222,0,0,0,0,0,0,1,1,1,1,2,1,1,"Meme_zone_jittering_legitime",631581.336833579,0,1,"A_verifier","Fusionner_jittering",31401.5737457708,3.14015737457708,0,0
12,85,49,16,85,294,296,406,145,342,110,0,312,1.5,59,14,3,3,3,2,2,2,3,461,350,19,546,17,431,0.2231,0.2898,0.2324,0.294,"offset",15.1057046743,-11.7890592616,0,0,0,0,6596.96406264157,0,0,0,0,0,0,1,1,0,0,746,1,4,"Non_doublon",637803.763657307,0,0,"Bon","Garder",31401.5737458202,3.14015737458202,0,0
13,85,49,16,85,294,296,406,145,342,110,0,312,1.5,59,14,3,3,3,2,2,2,3,462,351,19,547,17,431,0.2242,0.292,0.2378,0.293,"offset",15.1009695301,-11.7750559887,0,0,0,0,8245.13018164835,0,0,0,0,0,0,1,1,0,0,746,1,4,"Non_doublon",636157.860668891,0,0,"Bon","Garder",31401.5737458067,3.14015737458067,0,0
14,55,97,4,55,292,285,599,204,484,130,10,312,1.6,62,13,1,1,1,1,1,1,1,542,413,19,666,18,510,0.2618,0.3372,0.2546,0.2957,"offset",14.8115993635,-11.0736546191,0,0,0,0,37919.3358621378,0,0,0,0,0,0,1,1,0,0,746,1,4,"Non_doublon",552363.477966502,0,0,"Bon","Garder",31401.5737456679,3.14015737456679,0.1,0.314015737456679
15,47,113,2,47,290,278,714,226,552,40,25,312,5.9,64,14,1,1,3,1,1,1,3,634,465,19,775,18,589,0.3176,0.4182,0.3064,0.4125,"offset",14.0800534197,-11.274553953,0,0,0,0,79005.2498856755,1,0,0,0,0,0,1,1,0,0,746,1,4,"Non_doublon",561737.58696081,0,1,"A_verifier","Verifier_manuel",31401.5737457741,3.14015737457741,0.25,0.785039343644353
16,50,90,13,50,292,286,593,203,482,40,15,312,1.7,85,14,2,1,1,1,1,1,1,524,399,19,649,18,508,0.3102,0.4028,0.2863,0.33,"offset",14.8499673458,-11.2068458508,0,0,0,0,43632.4918780858,0,0,0,0,0,0,1,1,0,0,746,1,4,"Non_doublon",567807.876714235,0,0,"Bon","Garder",31401.5737458044,3.14015737458044,0.15,0.471023606187066
17,67,83,4,67,286,274,781,245,599,70,0,312,2.2,129,13,1,1,3,1,1,1,2,629,465,19,845,18,636,0.3255,0.4159,0.302,0.418,"offset",13.9032596845,-11.6874899933,0,0,0,0,30017.2157379425,0,0,0,0,0,0,1,1,0,0,746,1,4,"Non_doublon",606527.651325847,0,0,"Bon","Garder",31401.5737457564,3.14015737457564,0,0
18,23,60,11,23,292,288,645,219,527,60,14,312,1.7,59,13,1,1,1,1,1,1,1,568,430,19,667,18,523,0.3067,0.3936,0.3008,0.3656,"offset",14.4585204297,-11.6653834606,0,0,0,0,47548.1144088607,0,0,0,0,0,0,1,1,0,0,746,1,4,"Non_doublon",609683.558465939,0,0,"Bon","Garder",31401.5737458547,3.14015737458547,0.14,0.439622032441965
19,46,121,4,46,291,282,653,218,519,200,8,312,1.9,59,13,1,1,1,1,1,1,1,581,443,19,703,18,537,0.3011,0.3937,0.2957,0.3831,"offset",14.5795779148,-11.067755869,0,0,0,0,62615.0782985202,1,0,0,0,0,0,1,1,0,0,746,1,4,"Non_doublon",546247.417395776,0,1,"A_verifier","Verifier_manuel",31401.5737457317,3.14015737457317,0.08,0.251212589965854
20,48,119,5,48,291,282,649,217,516,210,5,312,1.9,58,13,1,1,1,1,1,1,1,580,442,19,686,18,523,0.2812,0.3683,0.262,0.3345,"offset",14.6320361194,-11.0342754551,0,0,0,0,55829.7515230813,1,0,0,0,0,0,1,1,0,0,746,1,4,"Non_doublon",543719.074713874,0,1,"A_verifier","Verifier_manuel",31401.5737458114,3.14015737458114,0.05,0.157007868729057
21,38,116,3,38,292,282,649,217,517,180,9,312,1.7,58,14,1,1,1,1,1,1,1,578,441,19,703,18,535,0.2906,0.376,0.287,0.3628,"offset",14.5962812367,-11.1208660629,0,0,0,0,62678.1780669203,1,0,0,0,0,0,1,1,0,0,746,1,4,"Non_doublon",552410.906306239,0,1,"A_verifier","Verifier_manuel",31401.5737457895,3.14015737457895,0.09,0.282614163712105
22,44,120,3,44,291,282,653,218,519,200,7,312,1.9,58,13,1,1,1,1,1,1,1,582,443,19,709,18,541,0.3028,0.3971,0.3022,0.3873,"offset",14.5680777886,-11.0783077163,0,0,0,0,64211.5111826735,1,0,0,0,0,0,1,1,0,0,746,1,4,"Non_doublon",547164.254107614,0,1,"A_verifier","Verifier_manuel",31401.5737456935,3.14015737456935,0.07,0.219811016219855
23,58,132,4,58,290,280,673,223,530,160,15,312,2.4,72,14,2,2,1,1,1,1,1,581,437,18,698,18,540,0.3243,0.4316,0.3061,0.3895,"offset",14.5556556647,-10.9042910067,0,0,0,0,63030.2300304391,1,0,0,0,0,0,1,1,0,0,746,1,4,"Non_doublon",527853.891536062,0,1,"A_verifier","Verifier_manuel",31401.5737456921,3.14015737456922,0.15,0.471023606185382
25,1,83,1,1,293,282,638,211,513,10440,13,312,2.2,40,14,1,1,1,1,1,1,1,570,447,19,669,18,534,0.272,0.3463,0.2546,0.3309,"comm_ctr",14.44691466,-11.4379091583,0,0,0,0,66557.6834052988,1,0,0,0,0,0,1,1,2,1,9,1,1,"Meme_zone_jittering_legitime",584427.965146741,0,2,"A_verifier","Fusionner_jittering",31401.5737457196,3.14015737457196,0.13,0.408220458694355
26,1,83,1,1,293,282,638,211,513,10440,13,312,2.2,40,14,1,1,1,1,1,1,1,570,447,19,669,18,534,0.272,0.3463,0.2546,0.3309,"comm_ctr",14.44691466,-11.4379091583,0,0,0,0,66557.6834052988,1,0,0,0,0,0,1,1,2,1,9,1,1,"Meme_zone_jittering_legitime",584427.965146741,0,2,"A_verifier","Fusionner_jittering",31401.5737457196,3.14015737457196,0.13,0.408220458694355
27,1,83,1,1,293,282,638,211,513,10440,13,312,2.2,40,14,1,1,1,1,1,1,1,570,447,19,669,18,534,0.272,0.3463,0.2546,0.3309,"comm_ctr",14.44691466,-11.4379091583,0,0,0,0,66557.6834052988,1,0,0,0,0,0,1,1,2,1,9,1,1,"Meme_zone_jittering_legitime",584427.965146741,0,2,"A_verifier","Fusionner_jittering",31401.5737457196,3.14015737457196,0.13,0.408220458694355
28,1,83,1,1,293,282,638,211,513,10440,13,312,2.2,40,14,1,1,1,1,1,1,1,570,447,19,669,18,534,0.272,0.3463,0.2546,0.3309,"comm_ctr",14.44691466,-11.4379091583,0,0,0,0,66557.6834052988,1,0,0,0,0,0,1,1,2,1,9,1,1,"Meme_zone_jittering_legitime",584427.965146741,0,2,"A_verifier","Fusionner_jittering",31401.5737457196,3.14015737457196,0.13,0.408220458694355
29,1,83,1,1,293,282,638,211,513,10440,13,312,2.2,40,14,1,1,1,1,1,1,1,570,447,19,669,18,534,0.272,0.3463,0.2546,0.3309,"comm_ctr",14.44691466,-11.4379091583,0,0,0,0,66557.6834052988,1,0,0,0,0,0,1,1,2,1,9,1,1,"Meme_zone_jittering_legitime",584427.965146741,0,2,"A_verifier","Fusionner_jittering",31401.5737457196,3.14015737457196,0.13,0.408220458694355
30,1,83,1,1,293,282,638,211,513,10440,13,312,2.2,40,14,1,1,1,1,1,1,1,570,447,19,669,18,534,0.272,0.3463,0.2546,0.3309,"comm_ctr",14.44691466,-11.4379091583,0,0,0,0,66557.6834052988,1,0,0,0,0,0,1,1,2,1,9,1,1,"Meme_zone_jittering_legitime",584427.965146741,0,2,"A_verifier","Fusionner_jittering",31401.5737457196,3.14015737457196,0.13,0.408220458694355
31,1,83,1,1,293,282,638,211,513,10440,13,312,2.2,40,14,1,1,1,1,1,1,1,570,447,19,669,18,534,0.272,0.3463,0.2546,0.3309,"comm_ctr",14.44691466,-11.4379091583,0,0,0,0,66557.6834052988,1,0,0,0,0,0,1,1,2,1,9,1,1,"Meme_zone_jittering_legitime",584427.965146741,0,2,"A_verifier","Fusionner_jittering",31401.5737457196,3.14015737457196,0.13,0.408220458694355
32,1,83,1,1,293,282,638,211,513,10440,13,312,2.2,40,14,1,1,1,1,1,1,1,570,447,19,669,18,534,0.272,0.3463,0.2546,0.3309,"comm_ctr",14.44691466,-11.4379091583,0,0,0,0,66557.6834052988,1,0,0,0,0,0,1,1,2,1,9,1,1,"Meme_zone_jittering_legitime",584427.965146741,0,2,"A_verifier","Fusionner_jittering",31401.5737457196,3.14015737457196,0.13,0.408220458694355
33,1,83,1,1,293,282,638,211,513,10440,13,312,2.2,40,14,1,1,1,1,1,1,1,570,447,19,669,18,534,0.272,0.3463,0.2546,0.3309,"comm_ctr",14.44691466,-11.4379091583,0,0,0,0,66557.6834052988,1,0,0,0,0,0,1,1,2,1,9,1,1,"Meme_zone_jittering_legitime",584427.965146741,0,2,"A_verifier","Fusionner_jittering",31401.5737457196,3.14015737457196,0.13,0.408220458694355
35,98,166,3,98,285,274,780,247,598,140,19,312,2.1,103,15,1,1,2,1,1,1,2,682,500,18,807,18,611,0.3276,0.4151,0.3244,0.434,"offset",13.8078066976,-10.824939455,0,0,0,0,101580.73445874,1,0,0,0,0,0,1,1,0,0,746,1,4,"Non_doublon",510235.890275872,0,1,"A_verifier","Verifier_manuel",31401.5737458356,3.14015737458356,0.19,0.596629901170876
36,96,164,2,96,285,274,779,247,598,150,18,312,2.1,103,15,1,1,2,1,1,1,2,677,494,18,802,18,607,0.3276,0.4168,0.3256,0.4377,"offset",13.8366097217,-10.8416405104,0,0,0,0,101709.526679499,1,0,0,0,0,0,1,1,0,0,746,1,4,"Non_doublon",512173.820686833,0,1,"A_verifier","Verifier_manuel",31401.5737457476,3.14015737457476,0.18,0.565228327423456
37,127,211,3,152,280,268,929,278,689,60,9,312,1.8,166,14,1,1,3,1,1,1,2,751,543,18,746,17,567,0.3738,0.4647,0.3911,0.4504,"offset",13.3335644806,-10.6403860601,0,0,0,0,93024.5154330626,1,0,0,0,0,0,1,1,0,0,746,1,4,"Non_doublon",491525.362150553,0,1,"A_verifier","Verifier_manuel",31401.5737457396,3.14015737457396,0.09,0.282614163711657
38,111,229,4,169,280,267,966,286,712,100,11,312,3.7,173,18,1,1,3,1,1,1,3,774,555,18,814,17,587,0.2781,0.3458,0.2454,0.3001,"offset",13.2050761102,-10.4641181376,0,0,0,0,106371.300796475,1,1,0,0,0,0,1,1,0,0,746,1,4,"Non_doublon",473570.254404614,0,2,"A_verifier","Verifier_manuel",31401.5737457201,3.14015737457201,0.11,0.345417311202921
39,112,171,27,130,276,267,763,243,581,110,21,312,2.8,291,13,1,1,2,1,1,1,4,616,454,18,709,18,531,0.3207,0.4197,0.3247,0.3895,"offset",14.4202157344,-10.2525884712,0,0,0,0,107781.203503437,1,0,0,0,0,0,1,1,0,0,746,1,4,"Non_doublon",453687.088651378,0,1,"A_verifier","Verifier_manuel",31401.5737458142,3.14015737458142,0.21,0.659433048662097
40,112,170,23,125,277,268,756,241,576,100,15,312,3.5,281,14,1,1,2,1,1,1,3,601,443,18,735,18,545,0.3178,0.4134,0.3097,0.3747,"offset",14.4821609362,-10.274939305,0,0,0,0,100932.457052672,1,0,0,0,0,0,1,1,0,0,746,1,4,"Non_doublon",457452.544723105,0,1,"A_verifier","Verifier_manuel",31401.5737457257,3.14015737457257,0.15,0.471023606185885
41,111,168,13,116,278,269,742,235,564,30,10,312,3.8,273,14,1,1,2,1,1,1,3,584,431,18,735,18,559,0.3107,0.41,0.297,0.3462,"offset",14.5599033787,-10.3629821967,0,0,0,0,87683.8795623439,1,0,0,0,0,0,1,1,0,0,746,1,4,"Non_doublon",468841.415399359,0,1,"A_verifier","Verifier_manuel",31401.5737457769,3.14015737457769,0.1,0.314015737457769
42,103,165,15,103,281,271,736,235,563,120,15,312,3.4,216,13,2,1,2,1,1,1,3,593,437,19,730,18,556,0.3223,0.4205,0.3225,0.3835,"offset",14.5042969245,-10.5363369907,0,0,0,0,80802.4866355619,1,0,0,0,0,0,1,1,0,0,746,1,4,"Non_doublon",486506.901025396,0,1,"A_verifier","Verifier_manuel",31401.5737457732,3.14015737457732,0.15,0.471023606186598
43,100,159,17,137,275,267,747,238,570,40,21,312,2.4,319,13,1,1,2,1,1,1,3,598,441,18,711,18,519,0.3261,0.4236,0.313,0.3859,"offset",14.5213168473,-10.1734784921,0,0,0,0,97579.0151114414,1,0,0,0,0,0,1,1,0,0,746,1,4,"Non_doublon",447284.28769048,0,1,"A_verifier","Verifier_manuel",31401.5737457676,3.14015737457676,0.21,0.659433048661119
44,100,164,18,100,282,272,735,236,564,80,33,312,4.8,203,14,2,1,2,1,1,1,2,606,443,19,724,18,546,0.3278,0.4268,0.3285,0.3826,"offset",14.4562237433,-10.5555119698,0,0,0,0,84534.1017686853,1,0,0,0,0,0,1,1,0,0,746,1,4,"Non_doublon",487609.764297909,0,1,"A_verifier","Verifier_manuel",31401.5737457387,3.14015737457387,0.33,1.03625193360938
45,130,190,34,144,279,269,794,256,608,60,18,312,2.1,223,14,1,1,2,1,1,1,3,638,466,18,710,18,547,0.3273,0.4227,0.3175,0.395,"offset",14.1681496751,-10.1422616123,0,0,0,0,137728.832622696,1,0,0,0,0,0,3,1,0,0,746,1,4,"Non_doublon",437229.289942216,0,1,"A_verifier","Verifier_manuel",31401.573745844,3.1401573745844,0.18,0.565228327425191
46,120,200,55,120,274,264,814,259,620,40,23,312,4,306,13,1,1,3,1,1,1,4,667,488,18,731,18,562,0.3496,0.4459,0.3666,0.4292,"offset",14.0617885206,-10.4176547791,0,0,0,0,131942.259677118,1,0,0,0,0,0,3,1,0,0,746,1,4,"Non_doublon",466483.977280953,0,1,"A_verifier","Verifier_manuel",31401.5737458887,3.14015737458887,0.23,0.722236196155439
47,127,206,54,127,274,263,821,261,624,50,21,312,3,313,13,1,1,3,1,1,1,4,670,490,18,698,18,540,0.3502,0.449,0.3782,0.4413,"offset",14.0246953724,-10.3245264331,0,0,0,0,140364.24628053,1,0,0,0,0,0,1,1,0,0,746,1,4,"Non_doublon",455804.277972256,0,1,"A_verifier","Verifier_manuel",31401.5737457452,3.14015737457452,0.21,0.65943304866065
48,130,208,52,130,272,262,832,264,631,30,17,312,2.3,331,13,1,1,3,1,1,1,4,672,491,18,687,18,540,0.3528,0.4511,0.3774,0.4404,"offset",13.9670484462,-10.3209334282,0,0,0,0,146420.434643204,1,0,0,0,0,0,1,1,0,0,746,1,4,"Non_doublon",454937.705513413,0,1,"A_verifier","Verifier_manuel",31401.5737456991,3.14015737456991,0.17,0.533826753676885
49,98,165,2,98,285,273,781,246,598,130,18,312,2,103,15,1,1,2,1,1,1,2,694,508,18,814,18,634,0.3283,0.4223,0.3246,0.4148,"offset",13.7567823683,-10.8482399691,0,0,0,0,96465.7976577735,1,0,0,0,0,0,1,1,0,0,746,1,4,"Non_doublon",512741.248314045,0,1,"A_verifier","Verifier_manuel",31401.5737457164,3.14015737457164,0.18,0.565228327422895
50,96,161,1,96,285,273,784,246,600,140,16,312,2.5,108,15,1,1,2,1,1,1,2,691,505,18,811,18,649,0.3294,0.4277,0.3272,0.4418,"offset",13.7500570882,-10.893384839,0,0,0,0,91683.2056724508,1,0,0,0,0,0,1,1,0,0,746,1,4,"Non_doublon",517759.991862671,0,1,"A_verifier","Verifier_manuel",31401.5737457736,3.14015737457736,0.16,0.502425179932378
51,113,222,17,156,280,268,902,273,672,20,0,312,2.1,174,14,1,1,3,1,1,1,3,742,535,18,837,17,620,0.3754,0.4788,0.3929,0.4915,"offset",13.3995416673,-10.4504301244,0,0,0,0,115376.834370663,1,0,0,0,0,0,1,1,0,0,746,1,4,"Non_doublon",469826.23674137,0,1,"A_verifier","Verifier_manuel",31401.5737457895,3.14015737457895,0,0
52,121,215,41,142,279,268,849,268,642,30,2,312,4.4,190,14,2,2,1,1,1,1,1,701,507,18,789,18,592,0.3647,0.4644,0.3602,0.4333,"offset",13.7149058152,-10.3432634612,0,0,0,0,143341.323274451,1,0,0,0,0,0,3,1,0,0,746,1,4,"Non_doublon",456505.226916068,0,1,"A_verifier","Verifier_manuel",31401.5737458072,3.14015737458072,0.02,0.0628031474916143
53,105,186,47,105,276,266,791,252,604,50,23,312,3.4,277,14,1,1,3,1,1,1,4,649,476,18,760,18,585,0.3424,0.4515,0.3179,0.4043,"comm_ctr",14.1872362677,-10.5240217719,0,0,0,0,113999.012007566,1,0,0,0,0,0,3,1,0,0,746,1,4,"Non_doublon",479694.469269393,0,1,"A_verifier","Verifier_manuel",31401.5737457853,3.14015737457853,0.23,0.722236196153061
54,116,188,37,116,276,267,782,249,596,120,27,312,5.5,286,11,1,1,3,1,1,1,4,636,465,18,708,18,541,0.3268,0.4298,0.3243,0.3822,"offset",14.3308562103,-10.3313252307,0,0,0,0,110091.74254239,1,0,0,0,0,0,1,1,0,0,746,1,4,"Non_doublon",460627.553813322,0,1,"A_verifier","Verifier_manuel",31401.5737457275,3.14015737457275,0.27,0.847842491134644
55,93,174,42,93,278,268,772,247,591,40,25,312,3.5,255,14,1,1,3,1,1,1,4,625,453,18,746,18,573,0.3343,0.4307,0.3289,0.4009,"offset",14.3006417384,-10.5724190557,0,0,0,0,99904.0644896357,1,0,0,0,0,0,1,1,0,0,746,1,4,"Non_doublon",486674.436805582,0,1,"A_verifier","Verifier_manuel",31401.5737457317,3.14015737457317,0.25,0.785039343643293
56,84,166,42,84,278,267,769,246,589,60,24,312,3,267,13,1,1,3,1,1,1,4,641,469,19,745,18,571,0.3452,0.4411,0.3369,0.4216,"offset",14.2246096425,-10.6949025823,0,0,0,0,103996.123687792,1,0,0,0,0,0,1,1,0,0,746,1,4,"Non_doublon",499084.236296753,0,1,"A_verifier","Verifier_manuel",31401.5737456698,3.14015737456698,0.24,0.753637769896075
57,73,114,6,238,277,272,642,216,519,70,40,312,1.5,289,14,3,3,1,1,1,1,1,545,402,19,575,18,427,0.2794,0.3544,0.2831,0.3442,"offset",14.665402976,-9.25274872507,0,0,0,0,65701.8442375184,1,0,0,0,0,0,1,1,0,0,746,1,4,"Non_doublon",352429.13041243,0,1,"A_verifier","Verifier_manuel",31401.5737457983,3.14015737457983,0.4,1.25606294983193
58,114,145,5,277,279,274,641,214,517,50,48,312,1.5,245,13,3,3,1,1,1,1,1,570,424,18,643,18,513,0.3016,0.3874,0.2793,0.3392,"offset",14.4829455605,-8.84469086354,0,0,0,0,22721.1066368528,0,0,0,0,0,0,1,1,0,0,746,1,4,"Non_doublon",302795.92573615,0,0,"Bon","Garder",31401.5737457671,3.14015737457671,0.48,1.50727553979682
59,106,139,6,266,279,272,648,217,523,40,38,312,1.5,251,13,3,3,1,1,1,1,1,573,426,18,610,18,459,0.3036,0.3862,0.299,0.3633,"offset",14.4868365952,-8.98058594547,0,0,0,0,29737.8274919006,0,0,0,0,0,0,1,1,0,0,746,1,4,"Non_doublon",317423.777693714,0,0,"Bon","Garder",31401.5737456842,3.14015737456842,0.38,1.193259802336
60,41,85,5,229,280,278,593,203,481,60,19,312,1.7,276,14,3,3,1,1,1,1,1,507,379,19,516,18,382,0.2729,0.343,0.2862,0.3383,"offset",14.9094698259,-9.37186240732,0,0,0,0,61526.8279177096,1,0,0,0,0,0,1,1,0,0,746,1,4,"Non_doublon",374421.348480931,0,1,"A_verifier","Verifier_manuel",31401.5737457359,3.14015737457359,0.19,0.596629901168983
61,32,67,7,237,280,282,542,187,443,90,0,312,1.7,283,13,3,3,1,1,1,1,1,480,360,19,499,18,393,0.2425,0.3007,0.2456,0.3096,"offset",15.0802888304,-9.32869505812,0,0,0,0,42897.331822159,0,0,0,0,0,0,1,1,0,0,746,1,4,"Non_doublon",377699.053381249,0,0,"Bon","Garder",31401.5737457988,3.14015737457988,0,0
62,34,72,7,236,280,281,554,191,452,70,0,312,1.6,288,13,3,3,1,1,1,1,1,482,362,19,499,18,391,0.2531,0.3141,0.264,0.33,"offset",15.0588688183,-9.32976857901,0,0,0,0,45266.4808111498,0,0,0,0,0,0,1,1,0,0,746,1,4,"Non_doublon",376788.886734093,0,0,"Bon","Garder",31401.5737456721,3.14015737456721,0,0
63,83,137,5,202,276,269,708,233,559,90,12,312,1.7,302,21,2,2,1,1,1,1,1,577,423,18,645,18,479,0.2965,0.3845,0.2965,0.3636,"offset",14.4664485766,-9.52984348885,0,0,0,0,82778.3900448757,1,1,0,0,0,0,1,1,0,0,746,1,4,"Non_doublon",375979.926736322,0,2,"A_verifier","Verifier_manuel",31401.573745735,3.1401573745735,0.12,0.37681888494882
64,77,125,3,226,277,271,672,224,539,180,17,312,1.4,280,16,2,2,1,1,1,1,1,552,407,18,608,18,438,0.2905,0.3648,0.267,0.3217,"offset",14.5684421397,-9.35954956799,0,0,0,0,69200.6322755241,1,1,0,0,0,0,1,1,0,0,746,1,4,"Non_doublon",360563.253648353,0,2,"A_verifier","Verifier_manuel",31401.57374568,3.140157374568,0.17,0.533826753676561
65,77,127,2,218,276,270,683,227,545,220,22,312,1.3,298,21,2,2,1,1,1,1,1,560,411,18,621,18,445,0.2976,0.3752,0.2841,0.3418,"offset",14.5287250755,-9.43778984554,0,0,0,0,75220.2790036313,1,1,0,0,0,0,1,1,0,0,746,1,4,"Non_doublon",367766.340662994,0,2,"A_verifier","Verifier_manuel",31401.5737457462,3.14015737457462,0.22,0.690834622406416
66,101,155,20,201,277,269,732,239,574,180,21,312,1.6,271,13,2,1,1,1,1,1,1,599,438,18,669,18,489,0.2914,0.3766,0.2761,0.3463,"offset",14.3114187669,-9.55690391058,0,0,0,0,83259.5917927214,1,0,0,0,0,0,1,1,0,0,746,1,4,"Non_doublon",375258.79889635,0,1,"A_verifier","Verifier_manuel",31401.5737457508,3.14015737457508,0.21,0.659433048660767
67,102,155,24,207,276,268,730,238,574,220,25,312,1.8,290,13,1,1,2,1,1,1,3,595,435,18,669,18,490,0.2943,0.3819,0.2792,0.3489,"offset",14.3110739705,-9.52432336417,0,0,0,0,79633.368808902,1,0,0,0,0,0,1,1,0,0,746,1,4,"Non_doublon",371686.046786879,0,1,"A_verifier","Verifier_manuel",31401.5737458258,3.14015737458258,0.25,0.785039343645645
68,111,136,7,284,279,275,609,205,494,30,21,312,1.1,254,19,3,3,1,1,1,1,1,541,403,18,617,18,480,0.2864,0.3662,0.276,0.3429,"offset",14.6431209878,-8.78243878954,0,0,0,0,34221.7940368986,0,1,0,0,0,0,1,1,0,0,746,1,4,"Non_doublon",302167.543752065,0,1,"A_verifier","Verifier_manuel",31401.5737457373,3.14015737457373,0.21,0.659433048660484
