"grappe","dist_popcenter","dist_border","dist_road","dist_admctr","af_bio_1","af_bio_8","af_bio_12","af_bio_13","af_bio_16","popdensity","hybrid_V8","ssa_aez09","afmnslp_pct","srtm_1k","twi","sq1","sq2","sq3","sq4","sq5","sq6","sq7","anntot_avg","wetQ_avg","wetQ_avgstart","h2017_tot","h2017_wetQ","h2017_wetQstart","ndvi_avg","ndvi_max","h2017_ndvi_avg","h2017_ndvi_max","type","lat_dd_mod","lon_dd_mod","hors_mali","hors_mali_utm","erreur_projection","hors_mali_reel","proche_frontiere","dans_eau_suspect","zone_humide_twi","zone_non_cultivee","zone_inhabitee","erreur_saisie","derive_gps","exploitation","passage","cluster","doublon","nb_grappes_cluster","nb_passages_cluster","nb_exploitations_cluster","origine_doublon","distance_centre","suspect_distance","score","niveau","decision","surface_gps_m2","surface_gps_ha","hybrid_V8_prop","surface_cultivee_ha"
226,30,206,2,35,273,263,852,266,625,80,37,312,1.3,352,14,1,1,3,1,1,1,3,720,518,18,796,17,560,0.3097,0.3951,0.3133,0.3627,"offset",12.7721414681,-7.25051952249,0,0,0,0,32411.5985585416,0,0,0,0,0,0,1,1,0,0,746,1,4,"Non_doublon",155634.603109464,0,0,"Bon","Garder",31401.5737457518,3.14015737457518,0.37,1.16185822859281
227,20,229,5,78,275,265,850,266,615,90,43,312,1.4,311,14,1,1,2,1,1,1,2,723,513,18,795,19,582,0.3147,0.3996,0.338,0.3916,"offset",12.6373598725,-6.89648416081,0,0,0,0,14661.7983503652,0,0,0,0,0,0,1,1,0,0,746,1,4,"Non_doublon",143120.119933627,0,0,"Bon","Garder",31401.5737457825,3.14015737457825,0.43,1.35026767106865
228,9,227,3,65,275,264,840,262,614,120,39,312,1.3,322,14,1,1,2,1,1,1,2,721,515,18,787,19,578,0.3106,0.3889,0.3283,0.3971,"offset",12.7040063018,-6.97715711632,0,0,0,0,12763.8635142571,0,0,0,0,0,0,1,1,0,0,746,1,4,"Non_doublon",141618.146217081,0,0,"Bon","Garder",31401.5737457692,3.14015737457692,0.39,1.224661376085
229,33,196,7,34,273,263,864,270,629,70,38,312,1.4,356,15,1,1,2,1,1,1,2,724,518,18,785,17,572,0.2947,0.3798,0.2903,0.3395,"comm_ctr",12.6616523426,-7.3153662891,0,0,0,0,32598.023247048,0,0,0,0,0,0,1,1,7,1,4,1,1,"Meme_zone_jittering_legitime",169625.380298244,0,1,"A_verifier","Fusionner_jittering",31401.5737458053,3.14015737458053,0.38,1.1932598023406
230,33,196,7,34,273,263,864,270,629,70,38,312,1.4,356,15,1,1,2,1,1,1,2,724,518,18,785,17,572,0.2947,0.3798,0.2903,0.3395,"comm_ctr",12.6616523426,-7.3153662891,0,0,0,0,32598.023247048,0,0,0,0,0,0,1,1,7,1,4,1,1,"Meme_zone_jittering_legitime",169625.380298244,0,1,"A_verifier","Fusionner_jittering",31401.5737458053,3.14015737458053,0.38,1.1932598023406
231,33,196,7,34,273,263,864,270,629,70,38,312,1.4,356,15,1,1,2,1,1,1,2,724,518,18,785,17,572,0.2947,0.3798,0.2903,0.3395,"comm_ctr",12.6616523426,-7.3153662891,0,0,0,0,32598.023247048,0,0,0,0,0,0,1,1,7,1,4,1,1,"Meme_zone_jittering_legitime",169625.380298244,0,1,"A_verifier","Fusionner_jittering",31401.5737458053,3.14015737458053,0.38,1.1932598023406
232,33,196,7,34,273,263,864,270,629,70,38,312,1.4,356,15,1,1,2,1,1,1,2,724,518,18,785,17,572,0.2947,0.3798,0.2903,0.3395,"comm_ctr",12.6616523426,-7.3153662891,0,0,0,0,32598.023247048,0,0,0,0,0,0,1,1,7,1,4,1,1,"Meme_zone_jittering_legitime",169625.380298244,0,1,"A_verifier","Fusionner_jittering",31401.5737458053,3.14015737458053,0.38,1.1932598023406
233,106,138,16,150,273,262,992,266,655,160,25,312,3.2,347,14,1,1,3,1,1,1,3,846,554,18,948,14,606,0.2996,0.3831,0.293,0.3906,"offset",11.8086797833,-6.58228215378,0,0,0,0,7055.2286008663,0,0,0,0,0,0,1,1,0,0,746,1,4,"Non_doublon",220868.163918406,0,0,"Bon","Garder",31401.5737457699,3.14015737457699,0.25,0.785039343644248
234,85,149,11,138,272,261,998,273,666,130,41,312,1.7,348,13,1,1,1,1,1,1,1,833,555,18,1013,18,650,0.3122,0.3933,0.2927,0.3852,"offset",11.836574693,-6.83946658008,0,0,0,0,958.195790282309,0,0,0,0,0,0,1,1,0,0,746,1,4,"Non_doublon",224495.300441891,0,0,"Bon","Garder",31401.5737457657,3.14015737457657,0.41,1.28746452357639
235,98,150,3,142,272,261,989,270,658,140,39,312,1.8,352,14,1,1,3,1,1,1,3,844,560,18,1008,14,646,0.2989,0.3768,0.2844,0.3764,"offset",11.8780873079,-6.69704373352,0,0,0,0,10723.7184201943,0,0,0,0,0,0,1,1,0,0,746,1,4,"Non_doublon",215729.551008206,0,0,"Bon","Garder",31401.5737457306,3.14015737457306,0.39,1.22466137608349
236,78,160,24,142,273,261,1000,279,673,60,32,312,2.4,350,14,1,1,1,1,1,1,1,824,550,18,981,19,626,0.3221,0.4069,0.3182,0.4013,"offset",11.9036196952,-6.97039999786,0,0,0,0,2502.45487470628,0,0,0,0,0,0,1,1,0,0,746,1,4,"Non_doublon",222116.021463445,0,0,"Bon","Garder",31401.5737457727,3.14015737457727,0.32,1.00485035986473
237,83,169,23,118,273,262,983,279,666,70,32,312,2,337,14,1,1,1,1,1,1,1,827,561,18,957,19,619,0.3219,0.4061,0.3102,0.3667,"offset",12.0039011789,-6.91962083097,0,0,0,0,6046.70540063739,0,0,0,0,0,0,1,1,0,0,746,1,4,"Non_doublon",209432.370995603,0,0,"Bon","Garder",31401.5737457634,3.14015737457634,0.32,1.00485035986443
