"grappe","dist_popcenter","dist_border","dist_road","dist_admctr","af_bio_1","af_bio_8","af_bio_12","af_bio_13","af_bio_16","popdensity","hybrid_V8","ssa_aez09","afmnslp_pct","srtm_1k","twi","sq1","sq2","sq3","sq4","sq5","sq6","sq7","anntot_avg","wetQ_avg","wetQ_avgstart","h2017_tot","h2017_wetQ","h2017_wetQstart","ndvi_avg","ndvi_max","h2017_ndvi_avg","h2017_ndvi_max","type","lat_dd_mod","lon_dd_mod"
542,21,175,8,58,276,268,788,247,581,160,45,312,1.4,290,15,1,1,2,1,1,1,2,669,484,18,830,19,597,0.2945,0.3716,0.3004,0.3761,"offset",13.0721807887,-5.8974772625
543,36,148,12,92,274,267,783,238,561,90,41,312,1.2,291,13,1,1,2,1,1,1,2,635,455,18,790,19,632,0.2729,0.3501,0.2779,0.3345,"offset",13.1269542096,-5.48890428516
544,30,146,9,91,274,267,785,238,563,90,41,312,1.2,290,14,1,1,1,1,1,1,2,640,456,18,795,19,635,0.2733,0.3507,0.2798,0.3486,"offset",13.0916467786,-5.5157337594
545,28,139,5,95,275,267,786,235,560,90,46,312,1.2,288,14,1,1,1,1,1,1,2,651,462,18,799,19,617,0.278,0.3552,0.2954,0.3616,"offset",13.0101476703,-5.51470490715
546,41,135,3,117,275,268,749,228,537,80,26,312,1.4,288,14,1,1,2,1,1,1,2,659,471,18,764,19,585,0.2705,0.3519,0.2906,0.3563,"offset",13.1447972201,-5.24305412912
547,42,145,11,97,274,267,778,235,556,150,40,312,1.2,290,15,1,1,2,1,1,1,2,636,458,18,789,19,627,0.2736,0.3529,0.28,0.3549,"offset",13.1457073795,-5.44254124009
548,77,171,6,114,266,268,567,194,446,100,10,312,1.6,277,36,1,1,1,3,1,1,1,527,407,18,605,19,481,0.2008,0.2496,0.2029,0.2704,"offset",13.946812843,-5.34432769407
549,72,167,4,115,266,268,562,198,449,120,9,312,1.5,278,36,1,1,1,3,1,1,1,520,403,18,619,19,487,0.186,0.2226,0.2151,0.2709,"offset",14.0132290464,-5.35591987404
550,77,172,7,113,266,268,568,194,447,100,9,312,1.6,277,36,1,1,1,3,1,1,1,527,407,18,601,19,478,0.2043,0.2541,0.2062,0.2693,"offset",13.9373822711,-5.354299221
551,70,167,4,112,266,267,563,197,449,140,15,312,1.5,278,36,1,1,1,3,1,1,1,521,404,18,602,19,476,0.1776,0.2164,0.2015,0.2287,"offset",13.9961994229,-5.39102302657
552,77,166,3,125,268,270,565,202,453,20,6,312,1.5,278,14,1,1,1,3,1,1,1,524,405,18,619,19,486,0.189,0.227,0.2128,0.2746,"offset",14.012980698,-5.26600561747
554,42,185,2,74,265,264,631,216,498,150,34,312,1.5,281,13,1,1,1,3,1,1,1,542,412,18,639,19,463,0.2196,0.2753,0.2273,0.2779,"offset",13.827490707,-5.72482212422
555,37,184,4,70,266,265,624,218,499,70,30,312,1.3,283,14,1,1,1,3,1,1,1,531,407,18,617,19,462,0.2338,0.2858,0.2842,0.3384,"offset",13.8800779077,-5.79502175015
556,57,170,4,97,263,265,574,198,456,150,29,312,1.5,280,15,1,1,1,3,1,1,1,529,410,18,566,19,452,0.205,0.2479,0.2384,0.2877,"offset",13.9626594036,-5.54793148314
557,60,171,2,99,263,265,574,198,455,150,30,312,1.5,280,15,1,1,1,3,1,1,1,533,412,18,570,19,454,0.2036,0.2482,0.2242,0.2711,"offset",13.9432889665,-5.52373271047
558,56,169,5,97,264,265,573,199,456,140,25,312,1.4,280,14,1,1,1,3,1,1,1,527,409,17,564,19,452,0.2136,0.2596,0.258,0.3116,"offset",13.9733100128,-5.56278399396
559,51,164,9,99,264,266,568,200,456,110,20,312,1.3,280,15,1,1,1,3,1,1,1,520,405,17,571,19,462,0.2495,0.3065,0.3108,0.3664,"offset",14.0219165408,-5.58479661559
560,49,155,15,106,266,268,558,201,452,60,2,312,1.3,280,14,1,1,1,3,1,1,1,511,400,18,584,19,474,0.2323,0.294,0.2666,0.3078,"offset",14.1134863098,-5.54828429668
561,47,145,24,113,267,270,546,201,446,80,0,312,1.3,279,14,1,1,1,2,1,1,1,496,390,18,586,19,441,0.2165,0.2725,0.2325,0.2658,"offset",14.1960764276,-5.55174684268
562,56,150,17,115,266,269,551,202,449,70,4,312,1.5,279,14,1,1,1,3,1,1,1,510,399,18,577,19,459,0.2316,0.2935,0.2714,0.324,"offset",14.1287053472,-5.47983087557
563,58,155,5,117,270,269,626,206,478,80,12,312,1.3,275,14,1,1,1,1,1,1,2,568,427,17,732,19,593,0.2393,0.3042,0.2639,0.3179,"offset",13.712430963,-5.21146268235
564,57,153,5,120,270,269,622,206,476,90,13,312,1.4,275,14,1,1,1,1,1,1,2,562,422,18,711,19,573,0.2379,0.3047,0.2633,0.3138,"offset",13.7319094244,-5.18405692512
565,67,167,5,106,268,267,634,208,483,80,2,312,1.3,277,14,1,1,1,1,1,1,2,570,433,18,730,19,597,0.2367,0.3012,0.2395,0.3027,"offset",13.7126105616,-5.35320400689
566,71,169,8,108,267,267,611,202,470,70,3,312,1.3,277,14,1,1,1,1,1,1,2,542,413,18,644,19,534,0.2157,0.2732,0.2284,0.2822,"offset",13.7884693315,-5.36614962274
567,59,150,12,137,270,271,584,204,459,30,5,312,1.3,275,14,1,1,1,3,1,1,1,528,401,18,572,19,450,0.2315,0.2947,0.2615,0.3292,"offset",13.9301111877,-5.13359657926
568,51,139,5,143,271,272,596,205,464,80,2,312,1.4,275,15,1,1,1,3,1,1,1,534,402,18,598,19,455,0.2,0.247,0.2321,0.2979,"offset",13.8472925352,-5.02006885712
569,41,124,17,139,274,272,631,208,481,110,10,312,1.4,274,14,1,1,2,1,1,1,2,605,454,18,662,19,505,0.227,0.2909,0.2464,0.3091,"offset",13.6638450334,-4.93366119789
570,42,124,14,136,273,272,623,207,476,80,6,312,1.3,273,14,1,1,2,1,1,1,2,601,452,18,648,17,485,0.2198,0.2833,0.2484,0.3158,"offset",13.7015578609,-4.92051976118
571,49,135,4,144,271,272,603,205,467,70,2,312,1.4,275,15,1,1,1,3,1,1,1,537,404,18,608,19,456,0.2098,0.2615,0.2413,0.3109,"offset",13.8171315865,-4.99072787889
572,6,145,3,97,273,273,544,202,446,710,45,312,1.2,281,15,1,1,1,1,1,1,2,501,395,18,612,18,458,0.2384,0.2954,0.278,0.3333,"offset",14.2569531993,-5.9631977467
573,16,135,3,108,273,273,529,197,435,350,48,312,1,280,15,1,1,1,2,1,1,3,482,380,18,596,17,448,0.3171,0.4011,0.3678,0.4328,"offset",14.3872473423,-6.03036559761
574,24,129,4,115,273,273,522,194,429,230,48,312,0.9,279,17,1,1,1,2,1,1,3,475,373,18,572,18,425,0.3173,0.397,0.3742,0.4352,"offset",14.4622584633,-6.02977802032
575,11,142,3,101,273,273,536,199,440,270,46,312,1,281,15,1,1,1,2,1,1,3,490,386,18,598,17,448,0.3168,0.3999,0.3694,0.4403,"offset",14.3279892807,-6.04674213999
576,9,140,5,102,273,273,541,202,444,790,44,312,1.4,281,14,1,1,1,1,1,1,2,495,392,18,616,17,469,0.2296,0.2863,0.2506,0.3047,"offset",14.3003963588,-5.92046690093
577,9,140,3,102,273,273,539,201,443,690,45,312,1.3,281,15,1,1,1,1,1,1,2,494,390,18,613,17,464,0.2394,0.2996,0.2719,0.342,"offset",14.3076465447,-5.94530682308
578,7,143,3,99,273,273,542,202,445,660,45,312,1.2,281,15,1,1,1,1,1,1,2,499,393,18,612,17,460,0.2433,0.3019,0.2812,0.3433,"offset",14.2801282778,-5.96269221812
579,6,147,2,95,273,273,544,202,446,630,44,312,1.1,281,15,1,1,1,2,1,1,3,502,396,18,611,18,454,0.2499,0.313,0.303,0.3509,"offset",14.2502549271,-5.99292530934
580,7,150,2,92,273,273,545,201,446,510,45,312,1.1,281,15,1,1,1,2,1,1,3,499,393,18,603,18,450,0.2766,0.344,0.3267,0.3931,"offset",14.2419749208,-6.05505805377
581,7,150,2,92,273,273,545,201,446,520,44,312,1.1,281,15,1,1,1,2,1,1,3,500,394,18,606,18,451,0.2707,0.3373,0.3212,0.3821,"offset",14.2430527196,-6.03519591932
582,9,156,4,87,273,272,555,205,455,380,42,312,1.1,281,15,1,1,1,2,1,1,3,513,404,18,627,18,469,0.2295,0.2934,0.2236,0.2623,"offset",14.1580440245,-5.94916732089
583,19,159,16,85,270,270,569,210,468,240,16,312,1.8,281,13,1,1,2,1,1,1,2,516,407,18,623,19,471,0.2287,0.294,0.2273,0.2761,"offset",14.1432387465,-5.85334047337
584,9,156,2,86,273,272,552,203,451,570,45,312,1.2,281,15,1,1,1,2,1,1,3,512,403,18,631,18,468,0.2359,0.2998,0.2439,0.2934,"offset",14.1640454752,-6.00337896728
585,29,180,4,62,272,269,569,203,459,150,36,312,1.2,283,14,1,1,1,2,1,1,3,531,414,18,644,19,492,0.26,0.3241,0.3391,0.4017,"offset",13.9711770035,-6.07666322947
586,27,175,6,68,272,270,564,203,457,130,35,312,1.1,282,14,1,1,1,2,1,1,3,526,411,18,647,19,490,0.2628,0.3288,0.3255,0.383,"offset",14.0197730949,-6.06803621007
588,56,102,2,146,273,273,483,179,398,220,43,312,1.1,276,14,1,1,1,2,1,1,3,453,357,18,569,17,415,0.2757,0.341,0.3431,0.4206,"offset",14.7598200995,-6.0971062742
589,49,107,1,140,273,273,497,184,408,300,39,312,1.1,277,15,1,1,1,2,1,1,3,463,365,18,603,17,448,0.2326,0.2864,0.2926,0.3726,"offset",14.6631644554,-6.07432569444
590,68,88,7,159,274,274,451,167,370,250,43,312,1,275,15,1,1,1,2,1,1,3,435,345,18,588,18,417,0.251,0.3272,0.2804,0.3538,"offset",14.8941130512,-6.03051173552
591,65,91,6,157,274,274,459,170,376,240,40,312,1,276,15,1,1,1,2,1,1,3,439,348,18,588,17,419,0.2383,0.2972,0.2707,0.3572,"offset",14.8601675535,-6.02249216713
592,69,100,10,156,274,274,455,170,377,80,29,312,1,273,36,1,1,1,2,1,1,3,436,345,18,549,18,387,0.2502,0.3276,0.314,0.3994,"offset",14.8769739746,-6.13448122996
593,62,96,5,153,274,274,467,173,384,210,42,312,1,275,14,1,1,1,2,1,1,3,443,350,18,570,18,405,0.2538,0.3158,0.3069,0.3757,"offset",14.8297686598,-6.06132452599
594,16,100,10,164,279,272,697,215,521,100,9,312,1.5,284,14,1,1,1,1,1,1,1,638,484,18,693,19,553,0.2486,0.3182,0.2811,0.3739,"offset",13.3408229119,-4.79361367337
595,23,125,6,140,277,269,722,223,528,130,26,312,1.2,296,14,1,1,2,1,1,1,2,663,488,18,698,19,548,0.2721,0.3451,0.2891,0.4001,"offset",13.1340620026,-5.0115966788
596,35,129,5,127,276,269,737,226,532,130,28,312,1.4,289,15,1,1,2,1,1,1,2,675,482,17,726,19,574,0.2666,0.3397,0.2938,0.3637,"offset",13.119014096,-5.15860046937
597,42,109,14,142,275,267,758,231,550,60,37,312,1.3,304,14,1,1,2,1,1,1,2,692,490,18,787,19,588,0.2896,0.3696,0.3084,0.4117,"offset",12.9449828828,-5.05839713225
