"grappe","dist_popcenter","dist_border","dist_road","dist_admctr","af_bio_1","af_bio_8","af_bio_12","af_bio_13","af_bio_16","popdensity","hybrid_V8","ssa_aez09","afmnslp_pct","srtm_1k","twi","sq1","sq2","sq3","sq4","sq5","sq6","sq7","anntot_avg","wetQ_avg","wetQ_avgstart","h2017_tot","h2017_wetQ","h2017_wetQstart","ndvi_avg","ndvi_max","h2017_ndvi_avg","h2017_ndvi_max","type","lat_dd_mod","lon_dd_mod"
642,22,140,3,22,280,280,476,160,377,160,22,312,1.4,272,14,1,1,1,3,1,1,1,514,413,18,599,19,476,0.1905,0.2346,0.1973,0.2375,"offset",14.63466744,-4.07339348065
643,20,139,3,20,280,280,477,160,377,190,22,312,1.4,272,14,1,1,1,3,1,1,1,517,413,18,605,19,482,0.1887,0.2305,0.1954,0.2285,"offset",14.6140940229,-4.05652990345
644,47,138,4,47,278,279,451,154,360,120,9,312,2.1,272,15,1,1,3,1,1,1,3,483,388,18,681,19,522,0.1938,0.2358,0.214,0.2562,"offset",14.8079033959,-3.92598810853
645,30,150,10,30,278,279,461,157,367,80,10,312,1.7,267,14,1,1,1,3,1,1,1,497,404,18,603,19,471,0.1815,0.2415,0.1963,0.2334,"offset",14.7442125379,-4.07445299289
646,38,151,11,38,278,279,450,154,360,130,7,312,1.7,265,15,1,1,1,3,1,1,1,486,395,18,623,19,482,0.1982,0.2393,0.2417,0.3085,"offset",14.8087663504,-4.04997574225
649,47,142,4,47,277,279,447,154,357,140,10,312,1.6,269,14,1,1,1,3,1,1,1,485,391,18,688,19,526,0.1914,0.2337,0.2139,0.2494,"offset",14.8380084321,-3.95715094301
651,102,170,8,110,276,281,337,132,291,100,17,311,2.2,265,13,1,1,1,2,2,1,1,403,325,18,629,17,527,0.1422,0.1709,0.1588,0.183,"offset",15.4162549463,-3.86361529124
653,95,172,4,131,277,282,327,129,283,70,7,311,2.2,266,14,1,1,1,2,2,1,1,400,323,19,641,17,531,0.1806,0.2263,0.1617,0.1975,"offset",15.4835430449,-3.78366334078
654,98,170,4,120,277,281,330,129,285,110,8,311,2.1,265,14,1,1,1,2,2,1,1,404,324,18,631,17,523,0.165,0.2007,0.1623,0.1887,"offset",15.4291620711,-3.78275127756
655,18,115,3,18,280,279,494,166,388,110,15,312,1.7,276,15,1,1,1,2,1,1,1,520,411,18,610,19,457,0.1982,0.2462,0.2151,0.2646,"offset",14.3881134384,-4.06189096008
656,12,118,6,12,279,279,495,167,390,70,18,312,1.4,268,15,1,1,1,2,1,1,1,519,410,18,614,17,459,0.2117,0.2576,0.2355,0.2735,"offset",14.3899236197,-4.13974665144
657,26,104,3,26,278,278,501,169,392,100,18,312,1.6,274,15,1,1,1,1,1,1,1,514,406,18,603,19,461,0.2086,0.2624,0.2335,0.2873,"offset",14.2882417129,-4.10087544923
660,1,129,1,1,280,280,496,166,392,11650,9,312,2.2,264,14,1,1,1,2,2,1,1,504,407,18,592,17,467,0.2237,0.2741,0.2813,0.3481,"comm_ctr",14.4861414433,-4.19140071844
661,1,129,1,1,280,280,496,166,392,11650,9,312,2.2,264,14,1,1,1,2,2,1,1,504,407,18,592,17,467,0.2237,0.2741,0.2813,0.3481,"comm_ctr",14.4861414433,-4.19140071844
662,1,129,1,1,280,280,496,166,392,11650,9,312,2.2,264,14,1,1,1,2,2,1,1,504,407,18,592,17,467,0.2237,0.2741,0.2813,0.3481,"comm_ctr",14.4861414433,-4.19140071844
663,1,129,1,1,280,280,496,166,392,11650,9,312,2.2,264,14,1,1,1,2,2,1,1,504,407,18,592,17,467,0.2237,0.2741,0.2813,0.3481,"comm_ctr",14.4861414433,-4.19140071844
664,1,129,1,1,280,280,496,166,392,11650,9,312,2.2,264,14,1,1,1,2,2,1,1,504,407,18,592,17,467,0.2237,0.2741,0.2813,0.3481,"comm_ctr",14.4861414433,-4.19140071844
665,1,129,1,1,280,280,496,166,392,11650,9,312,2.2,264,14,1,1,1,2,2,1,1,504,407,18,592,17,467,0.2237,0.2741,0.2813,0.3481,"comm_ctr",14.4861414433,-4.19140071844
666,1,129,1,1,280,280,496,166,392,11650,9,312,2.2,264,14,1,1,1,2,2,1,1,504,407,18,592,17,467,0.2237,0.2741,0.2813,0.3481,"comm_ctr",14.4861414433,-4.19140071844
667,1,129,1,1,280,280,496,166,392,11650,9,312,2.2,264,14,1,1,1,2,2,1,1,504,407,18,592,17,467,0.2237,0.2741,0.2813,0.3481,"comm_ctr",14.4861414433,-4.19140071844
668,1,129,1,1,280,280,496,166,392,11650,9,312,2.2,264,14,1,1,1,2,2,1,1,504,407,18,592,17,467,0.2237,0.2741,0.2813,0.3481,"comm_ctr",14.4861414433,-4.19140071844
669,1,129,1,1,280,280,496,166,392,11650,9,312,2.2,264,14,1,1,1,2,2,1,1,504,407,18,592,17,467,0.2237,0.2741,0.2813,0.3481,"comm_ctr",14.4861414433,-4.19140071844
670,64,91,4,64,266,266,520,173,406,110,17,312,3,417,13,1,1,2,1,1,1,3,511,393,18,638,19,473,0.2076,0.2569,0.2129,0.2583,"offset",14.3060534208,-3.63277151827
671,71,87,14,71,266,266,509,169,398,100,17,312,3.2,439,13,1,1,3,1,1,1,3,499,383,18,672,19,501,0.2045,0.255,0.2004,0.2326,"offset",14.4494230043,-3.54584782855
672,79,79,14,79,264,264,525,173,407,150,31,312,8.5,457,13,1,1,3,1,1,1,3,513,396,18,679,19,527,0.2248,0.2798,0.2278,0.2938,"offset",14.2996806626,-3.50608874116
673,86,72,18,87,268,268,519,172,403,200,32,312,10.4,405,13,1,1,2,1,1,1,2,509,391,18,692,19,550,0.236,0.298,0.2552,0.3425,"offset",14.2924487506,-3.40460555942
674,27,124,2,27,278,277,488,164,384,70,11,312,4.4,309,13,1,1,3,1,1,1,3,494,389,18,640,19,478,0.1883,0.2282,0.1988,0.228,"offset",14.4910439933,-3.91228762532
675,57,127,12,57,274,276,453,155,361,50,18,312,10.9,328,14,1,1,3,1,1,1,3,494,391,19,726,19,550,0.2113,0.2537,0.2172,0.2508,"offset",14.8018530928,-3.7804198709
676,58,124,14,58,272,274,456,155,363,50,19,312,11.9,364,14,1,1,3,1,1,1,3,496,392,18,724,19,549,0.2121,0.2541,0.2168,0.2488,"offset",14.800847083,-3.7689686365
677,56,68,43,99,261,262,502,164,392,340,25,312,5.6,558,12,1,1,3,1,1,1,3,516,400,18,717,19,579,0.2369,0.2972,0.2217,0.302,"offset",14.5886172115,-3.29793229888
678,62,104,27,62,268,269,484,162,382,50,14,312,4.2,418,13,1,1,3,1,1,1,3,511,396,18,667,19,509,0.1908,0.2345,0.2014,0.2567,"offset",14.6267065832,-3.65048783122
679,67,110,27,67,264,265,473,159,375,30,21,312,10,502,13,1,1,3,1,1,1,3,509,394,18,725,19,546,0.2043,0.259,0.2147,0.2529,"offset",14.7514253288,-3.64015043095
680,68,106,27,76,259,261,472,158,374,50,25,312,6.3,583,13,1,1,3,1,1,1,3,507,393,19,750,19,585,0.2131,0.2766,0.2151,0.2516,"offset",14.852246223,-3.59271410728
681,67,113,23,68,263,264,467,158,371,30,27,312,12.2,521,13,1,1,3,1,1,1,3,504,391,19,738,19,564,0.2126,0.2761,0.2148,0.2562,"offset",14.8148396468,-3.64819394948
682,46,97,20,102,263,265,453,152,362,80,15,312,8.6,551,13,1,1,3,1,1,1,3,500,394,18,741,19,585,0.2065,0.2476,0.2065,0.2384,"offset",14.953305259,-3.35778342859
683,55,99,25,91,258,261,466,156,370,30,15,312,3.2,610,13,1,1,3,1,1,1,3,512,404,18,758,19,599,0.2046,0.243,0.2222,0.2582,"offset",14.87547696,-3.43474898583
684,41,60,38,115,268,268,490,159,384,240,17,312,9.6,479,13,2,2,2,1,1,1,1,514,399,18,722,19,582,0.2495,0.3192,0.2329,0.3516,"offset",14.6728446023,-3.14171699347
685,52,64,45,104,264,264,499,163,390,270,26,312,8.1,526,13,2,1,2,1,1,1,1,516,399,18,722,19,586,0.2527,0.3267,0.224,0.3001,"offset",14.6129794383,-3.24306404704
686,38,88,21,107,261,262,466,154,370,40,17,312,8,594,15,2,1,2,1,1,1,2,499,389,18,746,19,584,0.1865,0.2218,0.2006,0.2437,"offset",14.8711649704,-3.28639993453
687,41,62,38,113,265,266,491,160,385,230,16,312,8.6,515,13,2,2,2,1,1,1,1,514,396,18,725,19,582,0.2356,0.2958,0.2258,0.3134,"offset",14.7009307205,-3.1663428888
693,79,76,21,82,265,265,513,169,400,160,31,312,6.2,456,12,1,1,3,1,1,1,3,501,386,18,676,19,533,0.2265,0.2826,0.2233,0.2979,"offset",14.4073623016,-3.42891796246
694,71,63,35,96,270,270,504,166,393,380,31,312,8.6,394,13,2,2,1,1,1,1,1,506,391,18,677,19,541,0.24,0.3039,0.2417,0.3143,"offset",14.4523444119,-3.31693346654
695,67,62,38,98,270,269,503,165,392,380,28,312,10.5,416,13,2,2,1,1,1,1,1,511,397,18,676,19,541,0.2541,0.3243,0.2559,0.3559,"offset",14.5061954158,-3.28719959412
696,86,67,6,86,275,274,522,172,404,220,17,312,3,301,14,3,3,1,1,1,1,1,535,414,18,678,19,534,0.2375,0.296,0.2526,0.3298,"offset",14.1300981567,-3.4858440516
697,86,63,3,86,275,274,526,173,406,180,12,312,2.1,292,14,3,3,1,1,1,1,1,545,421,18,660,19,522,0.2389,0.2991,0.2449,0.3153,"offset",14.0787224514,-3.51994651063
698,85,65,4,85,275,274,525,173,406,190,10,312,2.6,295,14,3,3,1,1,1,1,1,543,421,18,664,19,527,0.2393,0.2996,0.2461,0.3151,"offset",14.0962594537,-3.51630781947
699,121,24,14,121,281,276,551,176,419,100,3,312,1.8,259,16,2,2,1,1,1,1,1,574,427,18,746,19,534,0.2304,0.2989,0.2237,0.2916,"offset",13.7501753101,-3.3561659644
700,121,30,22,121,281,276,543,174,413,150,0,312,1.8,260,13,3,2,1,1,1,1,1,580,434,18,740,18,536,0.2286,0.2909,0.2285,0.3005,"offset",13.8123348648,-3.29608399944
701,113,31,5,115,279,274,566,181,429,90,0,312,1.7,262,15,2,1,1,1,1,1,1,576,425,18,713,19,554,0.2555,0.3263,0.2587,0.3338,"offset",13.6595532493,-3.53566224637
702,124,23,15,133,281,273,586,185,442,60,4,312,2,257,15,1,1,1,2,1,1,2,589,436,18,757,19,582,0.2717,0.349,0.2853,0.3464,"offset",13.5160488898,-3.46345070549
703,127,22,17,136,282,274,588,185,444,80,5,312,2.1,257,15,1,1,1,2,1,1,2,589,436,18,770,19,585,0.2709,0.3491,0.2927,0.3365,"offset",13.4980207308,-3.43924387906
704,99,45,4,99,275,272,555,180,422,120,3,312,2,291,13,3,3,1,1,1,1,1,567,421,18,688,19,533,0.2413,0.3039,0.2352,0.2904,"offset",13.7791192382,-3.62866798275
705,94,37,14,103,274,270,573,185,433,130,10,312,3.2,304,13,3,3,1,1,1,1,1,572,423,18,654,19,498,0.2424,0.3064,0.2459,0.2992,"offset",13.6856243445,-3.72460907556
706,98,34,13,108,275,272,576,185,435,140,2,312,2,285,13,3,3,1,1,1,1,1,579,428,18,673,19,513,0.2406,0.304,0.242,0.2901,"offset",13.6547568896,-3.68734995289
707,82,74,13,82,269,268,523,173,406,180,24,312,7.5,385,14,3,3,1,1,1,1,1,522,404,18,672,19,519,0.2311,0.2894,0.2419,0.3276,"offset",14.215796688,-3.49349523112
708,71,70,3,71,269,268,535,177,411,80,21,312,4.5,366,13,3,3,1,1,1,1,1,546,411,18,655,19,507,0.2352,0.2942,0.2378,0.3207,"offset",14.0199900004,-3.75084754973
709,85,58,4,85,272,271,538,177,412,100,5,312,2.4,315,14,3,3,1,1,1,1,1,553,415,18,668,19,526,0.2331,0.2951,0.2237,0.2945,"offset",13.9388510444,-3.65704057176
710,88,14,39,117,274,269,620,197,462,100,22,312,4.7,307,14,3,3,1,1,1,1,1,590,429,18,654,19,483,0.251,0.3148,0.245,0.2831,"offset",13.4820249321,-3.88432198832
711,91,50,9,91,270,268,555,181,421,80,8,312,3.7,348,14,3,3,1,1,1,1,1,566,420,18,689,19,541,0.239,0.3057,0.2347,0.2957,"offset",13.8115054973,-3.70762533539
712,106,30,14,117,278,273,582,186,439,90,0,312,1.8,264,15,3,3,1,1,1,1,1,588,434,18,712,19,546,0.2526,0.3239,0.2538,0.3213,"offset",13.5806792446,-3.62632043607
713,100,19,28,120,278,272,603,192,452,120,13,312,1.9,273,14,3,3,1,1,1,1,1,596,437,18,707,19,539,0.257,0.3284,0.2495,0.3171,"offset",13.4929115862,-3.73652324936
714,95,15,33,119,276,271,609,194,455,130,14,312,2,287,13,3,3,1,1,1,1,1,593,435,18,668,19,507,0.2514,0.3183,0.2418,0.2958,"offset",13.4960840008,-3.80821201702
715,13,102,11,64,272,275,541,183,414,110,29,312,1.6,271,13,1,1,1,3,1,1,1,539,408,18,717,19,568,0.2102,0.2584,0.2409,0.2907,"offset",14.0102310084,-4.51216653627
716,13,100,11,64,272,275,541,182,414,120,31,312,1.6,272,13,1,1,1,3,1,1,1,544,412,18,720,19,569,0.2109,0.2609,0.2385,0.2995,"offset",14.0030533837,-4.49404277982
717,17,108,14,62,272,275,536,183,413,90,17,312,1.6,270,15,1,1,1,3,1,1,1,520,398,18,701,19,561,0.2238,0.2678,0.2564,0.288,"offset",14.0568434333,-4.5578906788
718,7,104,3,75,272,274,560,189,428,460,31,312,1.7,271,15,1,1,1,3,1,1,1,521,391,17,692,19,533,0.2151,0.2555,0.2633,0.3235,"offset",13.9355640181,-4.61125788831
719,8,105,3,76,272,274,562,190,430,440,31,312,1.6,271,15,1,1,1,3,1,1,1,522,391,17,688,19,528,0.2233,0.2663,0.2753,0.3399,"offset",13.9305776771,-4.62446055549
720,34,95,16,161,276,272,653,210,492,80,24,312,1.6,276,15,1,1,1,2,2,1,1,613,457,18,610,19,473,0.2205,0.2806,0.2466,0.3136,"offset",13.6146735289,-4.68514030767
726,16,112,2,84,272,274,575,196,442,70,33,312,1.4,273,15,1,1,1,3,1,1,1,525,395,18,660,19,493,0.2747,0.3393,0.3619,0.4364,"offset",13.89726251,-4.68391321559
727,20,116,3,84,272,274,571,197,441,80,32,312,1.5,273,15,1,1,1,3,1,1,1,522,392,18,696,19,549,0.2496,0.3009,0.2856,0.3607,"offset",13.9749062107,-4.71784688649
732,35,80,3,68,274,274,533,180,411,140,14,312,1.6,277,13,1,1,2,1,1,1,2,527,398,18,668,19,524,0.1968,0.2406,0.217,0.2549,"offset",13.9632214678,-4.23736272265
733,32,80,3,78,274,274,538,181,414,160,14,312,1.5,276,13,1,1,2,1,1,1,2,529,399,18,665,19,522,0.2011,0.2444,0.2168,0.2666,"offset",13.9416225126,-4.28424814957
734,25,76,3,121,274,274,566,188,431,130,23,312,1.3,276,14,1,1,1,2,1,1,1,544,408,18,680,19,534,0.2213,0.2769,0.2321,0.2877,"offset",13.8616040168,-4.34240900182
735,21,77,3,106,274,273,586,193,445,160,31,312,1.3,274,14,1,1,1,2,1,1,1,553,414,18,675,19,526,0.232,0.2945,0.2518,0.3156,"offset",13.7956598278,-4.40998320156
738,10,75,8,137,272,274,462,150,366,140,1,312,9.1,431,11,1,1,3,1,1,1,3,494,387,18,755,19,605,0.2083,0.2586,0.1957,0.2565,"offset",14.9263670682,-3.00336539649
739,30,74,25,117,262,263,479,156,377,100,1,312,4.3,575,12,1,1,3,1,1,1,3,501,388,18,740,19,584,0.2016,0.2522,0.1864,0.2225,"offset",14.8329737505,-3.17619245781
740,26,74,21,120,264,265,474,155,375,70,0,312,6.5,541,12,1,1,3,1,1,1,3,500,389,18,737,19,581,0.2049,0.2561,0.1904,0.2298,"offset",14.8435885293,-3.15404700672
741,16,83,6,131,274,276,449,147,358,50,0,312,8.7,368,13,1,1,3,1,1,1,3,475,371,18,754,19,606,0.2009,0.2469,0.1937,0.2501,"offset",14.9863856994,-3.08478282791
742,27,95,3,123,274,277,431,144,346,50,0,312,6.1,354,13,1,1,3,1,1,1,3,479,374,18,752,19,599,0.1899,0.2347,0.1797,0.207,"offset",15.0494905227,-3.19196889195
743,27,94,3,124,274,276,432,144,347,50,0,312,6.5,366,13,1,1,3,1,1,1,3,479,375,18,751,19,598,0.1906,0.2348,0.1781,0.2034,"offset",15.0382173327,-3.18978264657
744,8,84,3,146,280,282,441,144,352,230,0,312,7.1,304,14,2,2,1,1,1,1,1,482,373,18,765,19,606,0.2175,0.2736,0.2299,0.2947,"offset",15.0597801928,-2.96321678348
745,47,124,25,143,281,286,366,128,301,50,0,311,1.2,265,36,1,1,1,1,1,1,1,454,357,19,776,19,624,0.1688,0.2258,0.1924,0.2265,"offset",15.3061263109,-3.2000051906
747,39,90,7,184,279,283,415,138,334,20,0,311,6.9,398,13,1,1,5,1,1,1,4,445,350,18,725,19,601,0.1982,0.243,0.2089,0.2612,"offset",15.1736032409,-2.6600902216
748,20,80,4,164,281,283,438,143,350,70,3,312,5,319,13,2,2,1,1,1,1,1,491,384,18,727,19,593,0.1781,0.2178,0.1692,0.2027,"offset",15.0087943241,-2.79884644282
749,10,69,5,144,276,277,465,149,368,230,2,312,8.7,381,14,1,1,3,1,1,1,3,492,385,18,772,19,609,0.1885,0.2342,0.1701,0.219,"offset",14.9263411706,-2.90019108155
750,69,126,3,94,277,280,397,141,327,90,0,312,2.1,279,14,1,1,1,1,1,1,1,487,382,18,717,19,561,0.1837,0.2262,0.2056,0.2603,"offset",15.1021784147,-3.56554757563
759,107,25,5,133,283,279,526,170,402,160,5,312,1.8,259,15,3,3,1,1,1,1,1,557,427,18,755,18,561,0.2182,0.2687,0.1901,0.2501,"offset",14.0354413888,-3.06559516833
760,119,32,14,127,282,278,531,172,405,90,2,312,1.9,260,15,3,2,1,1,1,1,1,571,432,18,776,16,576,0.2154,0.2689,0.1818,0.2392,"offset",13.9336049312,-3.14486111755
761,24,58,18,134,272,273,478,154,377,150,14,312,9.4,416,13,1,1,1,1,1,1,1,508,400,18,751,19,587,0.2442,0.3204,0.2725,0.3875,"offset",14.7709423441,-2.94816853678
762,34,57,29,123,271,271,484,157,381,190,13,312,11,436,13,3,3,1,1,1,1,1,512,399,18,723,19,579,0.2535,0.3349,0.2474,0.4067,"offset",14.7131176452,-3.06974229388
763,49,59,43,110,270,270,492,161,386,180,23,312,10.9,435,14,3,3,1,1,1,1,1,518,403,18,715,19,585,0.267,0.3479,0.2461,0.3844,"offset",14.5932871893,-3.17013520691
770,66,32,35,127,280,279,496,162,387,110,2,312,2,278,15,3,3,1,1,1,1,1,530,409,18,690,19,530,0.2232,0.2788,0.2561,0.3439,"offset",14.3994922198,-3.00462511772
771,107,47,15,107,279,276,528,173,405,110,12,312,1.7,271,14,3,3,1,1,1,1,1,557,420,18,704,19,542,0.2284,0.2868,0.229,0.3186,"offset",13.9669105774,-3.35901411501
772,109,40,20,109,279,276,536,174,410,130,11,312,1.7,269,14,3,3,1,1,1,1,1,559,421,18,693,19,534,0.23,0.2907,0.2351,0.3333,"offset",13.8963799716,-3.3728484932
773,106,41,17,106,278,275,538,175,411,130,18,312,1.7,270,14,3,3,1,1,1,1,1,556,418,18,675,19,527,0.2328,0.2942,0.2349,0.3188,"offset",13.8927133301,-3.42946732315
774,103,42,14,103,277,275,540,176,413,130,16,312,1.7,273,14,3,3,1,1,1,1,1,551,412,18,665,19,520,0.2336,0.2948,0.2359,0.3178,"offset",13.887131627,-3.48343240828
775,118,33,22,118,280,276,541,174,412,150,1,312,1.7,263,13,3,2,1,1,1,1,1,569,426,18,724,19,534,0.226,0.2873,0.2299,0.3053,"offset",13.8502322541,-3.32926664512
777,120,36,19,123,281,277,531,172,405,90,7,312,1.9,261,15,3,3,1,1,1,1,1,568,426,18,767,16,569,0.2148,0.271,0.2017,0.2706,"offset",13.9381533451,-3.21830780851
778,117,37,22,117,280,276,537,173,409,150,7,312,1.8,264,15,3,3,1,1,1,1,1,562,421,18,725,19,539,0.2247,0.2852,0.2247,0.3067,"offset",13.8891767506,-3.30920699407
780,75,128,7,78,270,277,459,178,365,140,7,312,1.8,272,14,1,1,1,3,1,1,1,465,373,18,598,19,463,0.2779,0.3497,0.3675,0.4562,"offset",14.4923817279,-4.92022187962
781,71,133,4,78,270,277,476,188,381,160,7,312,1.7,273,15,1,1,1,3,1,1,1,471,375,18,612,19,473,0.2655,0.3321,0.3267,0.4041,"offset",14.4341504043,-4.93711556842
782,73,130,4,79,270,277,470,185,376,150,7,312,1.7,273,14,1,1,1,3,1,1,1,468,373,18,607,19,470,0.2704,0.3392,0.339,0.4223,"offset",14.4610916375,-4.9384151432
783,63,142,4,79,270,277,505,203,412,70,9,312,1.6,272,15,1,1,1,3,1,1,1,472,375,18,628,17,474,0.2384,0.2895,0.3208,0.3798,"offset",14.3367011828,-4.90409126532
785,51,148,7,110,270,276,566,210,454,90,0,312,2,274,15,1,1,1,3,1,1,1,502,383,18,594,19,461,0.22,0.2683,0.2555,0.3124,"offset",14.0917579081,-4.99703496414
786,51,147,7,125,270,274,570,210,455,120,0,312,1.8,274,15,1,1,1,3,1,1,1,509,388,18,593,19,460,0.1981,0.2424,0.2174,0.2686,"offset",14.0532251596,-4.99970819626
787,65,126,21,65,271,277,427,154,337,90,0,312,1.7,270,14,1,1,1,3,1,1,1,460,371,18,611,19,472,0.3176,0.3982,0.4085,0.4768,"offset",14.6193159331,-4.80401584067
789,60,124,34,60,272,278,404,139,320,90,0,312,1.5,268,14,1,1,1,3,1,1,1,451,361,18,612,19,487,0.3116,0.3846,0.3868,0.448,"offset",14.7106218756,-4.71157676299
794,55,134,28,55,272,277,436,155,345,80,16,312,1.6,269,15,1,1,1,3,1,1,1,457,369,18,624,19,479,0.2821,0.3409,0.3547,0.4353,"offset",14.5470592915,-4.67632175218
796,63,119,60,63,272,278,371,124,299,50,0,312,1.3,267,14,1,1,1,3,1,1,1,430,345,18,581,19,468,0.2763,0.3325,0.3544,0.432,"offset",14.8892128117,-4.58078523622
797,65,116,61,65,272,278,366,121,295,50,0,312,1.3,267,14,1,1,1,3,1,1,1,427,343,18,579,17,463,0.3236,0.3955,0.4093,0.4831,"offset",14.9273135424,-4.62102930012
798,49,131,47,49,273,278,405,137,323,50,0,312,1.3,266,15,1,1,1,3,1,1,1,450,362,18,612,19,500,0.3518,0.4299,0.3994,0.4563,"offset",14.7265211407,-4.55767863004
799,99,138,45,99,274,281,353,138,301,150,7,311,1.2,262,36,1,1,1,2,2,1,1,395,323,18,573,17,455,0.1764,0.2237,0.2108,0.3042,"offset",15.3452921924,-4.24757098495
800,100,135,44,100,274,281,350,137,298,110,7,311,1.2,263,15,1,1,1,2,2,1,1,381,310,18,553,17,432,0.1591,0.1994,0.1908,0.2613,"offset",15.3883824405,-4.26804291676
801,82,139,40,82,274,280,373,141,313,60,0,311,0.9,261,15,2,2,2,3,3,2,2,414,340,18,620,17,505,0.2603,0.3217,0.3181,0.3954,"offset",15.2274278186,-4.24731724578
802,118,130,28,124,275,282,326,131,281,60,0,311,1.9,265,14,1,1,1,2,2,1,1,353,286,18,565,17,430,0.1316,0.1812,0.1558,0.2174,"offset",15.5677020588,-4.3080227965
803,102,142,6,154,276,283,303,125,262,60,4,311,1.8,266,14,1,1,1,2,2,1,1,337,273,18,549,17,442,0.1365,0.1614,0.1299,0.1514,"offset",15.7767541803,-4.20704654634
804,109,150,30,116,275,281,341,138,294,30,4,311,1.7,265,14,1,1,1,2,2,1,1,379,305,18,598,17,497,0.1553,0.1888,0.1566,0.1872,"offset",15.5374429437,-4.10419935161
807,115,105,40,115,274,282,318,122,269,30,0,311,2.5,267,14,1,1,1,2,2,1,1,366,296,18,584,17,459,0.1582,0.2,0.1621,0.1945,"offset",15.4883070538,-4.52486549573
808,117,106,39,117,274,282,316,122,269,20,0,311,2.5,267,14,1,1,1,2,2,1,1,364,294,18,581,17,457,0.1594,0.2013,0.1662,0.1988,"offset",15.5035688542,-4.51926722515
812,94,158,26,94,275,281,361,140,307,90,13,311,1.9,263,15,1,1,1,2,2,1,1,409,335,18,612,17,507,0.2105,0.2626,0.2884,0.3728,"offset",15.3122027272,-4.04752086305
813,75,148,31,75,274,280,385,143,320,40,20,312,1.4,264,14,1,1,1,2,2,1,1,421,346,18,651,17,532,0.2166,0.2668,0.3003,0.3414,"offset",15.1572725564,-4.1803426647
815,97,153,13,136,276,282,322,134,279,80,0,311,1.7,265,13,1,1,1,2,2,1,1,342,278,18,614,17,496,0.1429,0.1691,0.1545,0.1805,"offset",15.7079759445,-4.1235876215
817,102,162,23,119,276,282,338,137,292,30,9,311,1.8,265,14,1,1,1,2,2,1,1,392,316,18,625,17,528,0.1503,0.1855,0.1368,0.1739,"offset",15.5380329156,-3.99186836983
818,25,265,6,25,284,307,194,79,168,10,0,311,1.2,266,14,1,1,1,2,2,1,1,219,177,18,535,17,419,0.1439,0.1811,0.1858,0.2239,"offset",16.6684315731,-3.24484271286
819,13,258,6,13,284,308,189,78,164,250,5,311,1.4,262,36,1,1,1,2,2,1,1,214,176,18,507,17,397,0.1421,0.1788,0.1436,0.1607,"offset",16.6657411098,-2.94235649204
820,24,255,12,24,285,308,191,79,166,40,2,311,1.4,263,14,1,1,1,2,2,1,1,217,178,18,466,17,377,0.1453,0.1842,0.1336,0.1531,"offset",16.688002164,-2.7940957529
821,37,250,16,37,286,307,195,80,169,70,0,311,1.4,263,14,1,1,1,2,2,1,1,217,177,18,470,19,403,0.163,0.2025,0.1329,0.1468,"offset",16.6448401683,-2.6743263944
822,95,317,51,95,286,312,132,56,114,0,0,311,2.5,270,14,5,5,5,5,5,5,5,172,128,18,377,17,328,0.1448,0.1603,0.1324,0.143,"comm_ctr",17.3682776025,-2.29248130945
823,95,317,51,95,286,312,132,56,114,0,0,311,2.5,270,14,5,5,5,5,5,5,5,172,128,18,377,17,328,0.1448,0.1603,0.1324,0.143,"comm_ctr",17.3682776025,-2.29248130945
825,95,317,51,95,286,312,132,56,114,0,0,311,2.5,270,14,5,5,5,5,5,5,5,172,128,18,377,17,328,0.1448,0.1603,0.1324,0.143,"comm_ctr",17.3682776025,-2.29248130945
826,95,317,51,95,286,312,132,56,114,0,0,311,2.5,270,14,5,5,5,5,5,5,5,172,128,18,377,17,328,0.1448,0.1603,0.1324,0.143,"comm_ctr",17.3682776025,-2.29248130945
827,95,317,51,95,286,312,132,56,114,0,0,311,2.5,270,14,5,5,5,5,5,5,5,172,128,18,377,17,328,0.1448,0.1603,0.1324,0.143,"comm_ctr",17.3682776025,-2.29248130945
828,49,257,9,49,286,307,187,77,161,40,0,311,1.2,261,14,1,1,1,2,2,1,1,202,160,18,457,17,380,0.1344,0.1561,0.1273,0.1451,"offset",16.77361879,-2.54977098506
829,26,254,12,26,285,308,192,79,166,40,0,311,1.4,262,14,1,1,1,2,2,1,1,214,174,18,453,17,373,0.1396,0.1786,0.1287,0.1447,"offset",16.7076581809,-2.77320447259
830,21,256,12,21,285,308,190,79,166,40,2,311,1.4,263,14,1,1,1,2,2,1,1,221,180,18,476,17,378,0.1463,0.1734,0.1365,0.1589,"offset",16.6734103779,-2.81827108941
831,19,256,11,19,285,308,191,79,166,40,2,311,1.3,262,36,1,1,1,2,2,1,1,221,179,18,472,17,371,0.1368,0.1599,0.1377,0.1529,"offset",16.6957859317,-2.8656938632
832,18,256,11,18,285,308,191,79,166,30,2,311,1.3,262,36,1,1,1,2,2,1,1,225,181,18,479,17,372,0.1424,0.1799,0.1378,0.1581,"offset",16.6772646714,-2.88350568876
833,19,256,11,19,285,308,191,79,166,30,2,311,1.3,262,36,1,1,1,2,2,1,1,221,179,18,472,17,370,0.1369,0.1742,0.1386,0.1545,"offset",16.7012661968,-2.87578282995
