"grappe","exploitation","passage","s11dq01","s11dq02","s11dq03","s11dq04a","s11dq04b","s11dq05","s11dq06","s11dq07","s11dq08","s11dq09","s11dq10","s11dq11","s11dq12"
8,6,1,121,1,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,2,1.79769313486232e+308
8,7,1,104,1,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,2,1.79769313486232e+308
8,8,1,208,1,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,2,1.79769313486232e+308
8,9,1,104,1,1,1,0,1,2,1,2,1,1,2,1.79769313486232e+308
9,1,1,104,1,1,1,0,1,2,1,2,1,1,2,1.79769313486232e+308
9,2,1,101,1,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,2,1.79769313486232e+308
9,3,1,104,1,1,1,0,1,2,1,2,1,1,2,1.79769313486232e+308
9,4,1,121,1,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,2,1.79769313486232e+308
9,5,1,102,1,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,2,1.79769313486232e+308
9,6,1,208,1,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,2,1.79769313486232e+308
9,7,1,104,1,1,1,0,1,2,1,2,1,1,2,1.79769313486232e+308
9,8,1,121,1,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,2,1.79769313486232e+308
9,9,1,102,1,1,1,0,1,2,1,2,1,1,2,1.79769313486232e+308
10,1,1,121,1,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,2,1.79769313486232e+308
10,2,1,102,5,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,2,1.79769313486232e+308
10,3,1,102,1,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,2,1.79769313486232e+308
10,4,1,121,1,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,2,1.79769313486232e+308
10,5,1,121,1,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,2,1.79769313486232e+308
10,6,1,102,1,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,2,1.79769313486232e+308
10,7,1,121,1,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,2,1.79769313486232e+308
10,8,1,102,1,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,2,1.79769313486232e+308
10,9,1,102,1,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,2,1.79769313486232e+308
11,1,1,121,1,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,2,1.79769313486232e+308
11,2,1,121,1,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,2,1.79769313486232e+308
11,3,1,102,1,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,2,1.79769313486232e+308
11,4,1,121,1,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,2,1.79769313486232e+308
11,5,1,121,1,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,2,1.79769313486232e+308
11,6,1,121,1,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,2,1.79769313486232e+308
11,7,1,102,1,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,2,1.79769313486232e+308
11,8,1,121,15,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,2,1.79769313486232e+308
11,9,1,121,1,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,2,1.79769313486232e+308
12,1,1,121,1,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,2,1.79769313486232e+308
12,2,1,102,1,1,1,0,2,1.79769313486232e+308,2,1.79769313486232e+308,2,1.79769313486232e+308,2,1.79769313486232e+308
12,3,1,102,2,1,1,0,2,1.79769313486232e+308,2,1.79769313486232e+308,2,1.79769313486232e+308,2,1.79769313486232e+308
12,4,1,121,1,1,1,0,2,1.79769313486232e+308,2,1.79769313486232e+308,2,1.79769313486232e+308,2,1.79769313486232e+308
12,5,1,121,16,1,1,0,2,1.79769313486232e+308,2,1.79769313486232e+308,2,1.79769313486232e+308,2,1.79769313486232e+308
12,6,1,102,1,1,1,0,2,1.79769313486232e+308,2,1.79769313486232e+308,2,1.79769313486232e+308,2,1.79769313486232e+308
12,7,1,121,1,1,1,0,2,1.79769313486232e+308,2,1.79769313486232e+308,2,1.79769313486232e+308,2,1.79769313486232e+308
12,8,1,102,1,1,1,0,2,1.79769313486232e+308,2,1.79769313486232e+308,2,1.79769313486232e+308,2,1.79769313486232e+308
12,9,1,121,3,1,1,0,2,1.79769313486232e+308,2,1.79769313486232e+308,2,1.79769313486232e+308,2,1.79769313486232e+308
13,1,1,121,1,1,1,0,2,1.79769313486232e+308,2,1.79769313486232e+308,2,1.79769313486232e+308,2,1.79769313486232e+308
13,2,1,121,1,1,1,0,2,1.79769313486232e+308,2,1.79769313486232e+308,2,1.79769313486232e+308,2,1.79769313486232e+308
13,3,1,102,1,1,1,0,2,1.79769313486232e+308,2,1.79769313486232e+308,2,1.79769313486232e+308,2,1.79769313486232e+308
13,4,1,102,1,1,1,0,2,1.79769313486232e+308,2,1.79769313486232e+308,2,1.79769313486232e+308,2,1.79769313486232e+308
13,5,1,102,1,1,1,0,2,1.79769313486232e+308,2,1.79769313486232e+308,2,1.79769313486232e+308,2,1.79769313486232e+308
13,6,1,102,1,1,1,0,2,1.79769313486232e+308,2,1.79769313486232e+308,2,1.79769313486232e+308,2,1.79769313486232e+308
13,7,1,121,1,1,1,0,2,1.79769313486232e+308,2,1.79769313486232e+308,2,1.79769313486232e+308,2,1.79769313486232e+308
13,8,1,102,10,1,1,0,2,1.79769313486232e+308,2,1.79769313486232e+308,2,1.79769313486232e+308,2,1.79769313486232e+308
13,9,1,102,1,1,1,0,2,1.79769313486232e+308,2,1.79769313486232e+308,2,1.79769313486232e+308,2,1.79769313486232e+308
14,1,1,102,1,1,1,0,1,2,2,1.79769313486232e+308,1,1,2,1.79769313486232e+308
14,2,1,104,1,1,1,0,2,1.79769313486232e+308,2,1.79769313486232e+308,1,1,2,1.79769313486232e+308
14,3,1,121,3,1,1,0,2,1.79769313486232e+308,2,1.79769313486232e+308,1,1,2,1.79769313486232e+308
14,4,1,208,1,1,1,0,2,1.79769313486232e+308,2,1.79769313486232e+308,1,1,2,1.79769313486232e+308
14,5,1,208,8,1,1,0,2,1.79769313486232e+308,2,1.79769313486232e+308,1,1,2,1.79769313486232e+308
14,6,1,208,1,1,1,0,2,1.79769313486232e+308,2,1.79769313486232e+308,1,1,2,1.79769313486232e+308
14,7,1,121,1,1,1,0,2,1.79769313486232e+308,2,1.79769313486232e+308,1,1,2,1.79769313486232e+308
14,8,1,208,1,1,1,0,2,1.79769313486232e+308,2,1.79769313486232e+308,1,1,2,1.79769313486232e+308
14,9,1,120,1,1,1,0,2,1.79769313486232e+308,2,1.79769313486232e+308,1,1,2,1.79769313486232e+308
15,1,1,101,1,1,1,0,2,1.79769313486232e+308,2,1.79769313486232e+308,1,1,2,1.79769313486232e+308
15,2,1,121,1,1,1,0,2,1.79769313486232e+308,2,1.79769313486232e+308,1,1,2,1.79769313486232e+308
15,3,1,120,3,1,1,0,2,1.79769313486232e+308,2,1.79769313486232e+308,1,1,2,1.79769313486232e+308
15,4,1,121,2,1,1,0,2,1.79769313486232e+308,2,1.79769313486232e+308,1,1,2,1.79769313486232e+308
15,5,1,121,1,1,1,0,2,1.79769313486232e+308,2,1.79769313486232e+308,1,1,2,1.79769313486232e+308
15,6,1,104,2,1,1,0,2,1.79769313486232e+308,2,1.79769313486232e+308,1,6,2,1.79769313486232e+308
15,7,1,121,3,1,1,0,2,1.79769313486232e+308,2,1.79769313486232e+308,1,1,2,1.79769313486232e+308
15,8,1,104,1,1,1,0,2,1.79769313486232e+308,2,1.79769313486232e+308,1,1,2,1.79769313486232e+308
15,9,1,104,1,1,1,0,2,1.79769313486232e+308,2,1.79769313486232e+308,1,1,2,1.79769313486232e+308
16,1,1,104,1,1,1,0,2,1.79769313486232e+308,2,1.79769313486232e+308,1,1,2,1.79769313486232e+308
16,2,1,104,1,1,1,0,2,1.79769313486232e+308,2,1.79769313486232e+308,1,1,2,1.79769313486232e+308
16,3,1,102,1,1,1,0,2,1.79769313486232e+308,2,1.79769313486232e+308,1,1,2,1.79769313486232e+308
16,4,1,102,1,1,1,0,2,1.79769313486232e+308,2,1.79769313486232e+308,1,1,2,1.79769313486232e+308
16,5,1,102,1,1,1,0,2,1.79769313486232e+308,2,1.79769313486232e+308,1,1,2,1.79769313486232e+308
16,6,1,121,1,1,1,0,2,1.79769313486232e+308,2,1.79769313486232e+308,1,1,2,1.79769313486232e+308
16,7,1,208,1,1,1,0,2,1.79769313486232e+308,2,1.79769313486232e+308,1,1,2,1.79769313486232e+308
16,8,1,121,1,1,1,0,2,1.79769313486232e+308,2,1.79769313486232e+308,1,1,2,1.79769313486232e+308
16,9,1,102,1,1,1,0,2,1.79769313486232e+308,2,1.79769313486232e+308,1,1,2,1.79769313486232e+308
17,1,1,101,1,1,1,0,1,1,1,1,2,1.79769313486232e+308,2,1.79769313486232e+308
17,2,1,121,1,1,1,0,1,1,1,1,2,1.79769313486232e+308,2,1.79769313486232e+308
17,3,1,121,1,1,1,0,1,1,1,1,2,1.79769313486232e+308,2,1.79769313486232e+308
17,4,1,104,1,1,1,0,1,1,1,1,2,1.79769313486232e+308,2,1.79769313486232e+308
17,5,1,121,1,1,1,0,1,1,1,1,2,1.79769313486232e+308,2,1.79769313486232e+308
17,6,1,104,1,1,1,0,1,1,1,1,2,1.79769313486232e+308,2,1.79769313486232e+308
17,7,1,104,1,1,1,0,1,1,1,1,2,1.79769313486232e+308,2,1.79769313486232e+308
17,8,1,121,1,1,1,0,1,1,1,1,2,1.79769313486232e+308,2,1.79769313486232e+308
17,9,1,104,1,1,1,0,1,1,1,1,2,1.79769313486232e+308,2,1.79769313486232e+308
18,1,1,104,1,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,2,1.79769313486232e+308
18,2,1,101,1,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,2,1.79769313486232e+308
18,3,1,104,1,1,1,0,1,2,1,2,1,1,2,1.79769313486232e+308
18,4,1,104,1,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,2,1.79769313486232e+308
18,5,1,104,1,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,2,1.79769313486232e+308
18,6,1,104,1,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,2,1.79769313486232e+308
18,7,1,101,1,1,1,0,1,2,1,2,1,1,2,1.79769313486232e+308
18,8,1,121,1,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,2,1.79769313486232e+308
18,9,1,104,1,1,1,0,1,2,1,2,1,1,2,1.79769313486232e+308
19,1,1,104,1,1,1,0,2,1.79769313486232e+308,2,1.79769313486232e+308,2,1.79769313486232e+308,2,1.79769313486232e+308
19,2,1,104,1,1,1,2,2,1.79769313486232e+308,2,1.79769313486232e+308,2,1.79769313486232e+308,2,1.79769313486232e+308
19,3,1,104,1,1,1,0,2,1.79769313486232e+308,2,1.79769313486232e+308,2,1.79769313486232e+308,2,1.79769313486232e+308
19,4,1,104,1,1,1,0,2,1.79769313486232e+308,2,1.79769313486232e+308,2,1.79769313486232e+308,2,1.79769313486232e+308
19,5,1,104,1,1,1,2,2,1.79769313486232e+308,2,1.79769313486232e+308,2,1.79769313486232e+308,2,1.79769313486232e+308
19,6,1,104,1,1,1,2,2,1.79769313486232e+308,2,1.79769313486232e+308,2,1.79769313486232e+308,2,1.79769313486232e+308
19,7,1,104,1,1,1,0,2,1.79769313486232e+308,2,1.79769313486232e+308,2,1.79769313486232e+308,2,1.79769313486232e+308
19,8,1,104,1,1,1,0,2,1.79769313486232e+308,2,1.79769313486232e+308,2,1.79769313486232e+308,2,1.79769313486232e+308
19,9,1,104,1,1,1,0,2,1.79769313486232e+308,2,1.79769313486232e+308,2,1.79769313486232e+308,2,1.79769313486232e+308
20,1,1,121,1,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,2,1.79769313486232e+308
20,3,1,121,1,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,2,1.79769313486232e+308
20,4,1,104,1,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,2,1.79769313486232e+308
20,5,1,104,1,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,2,1.79769313486232e+308
20,6,1,104,1,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,2,1.79769313486232e+308
20,7,1,104,1,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,2,1.79769313486232e+308
20,8,1,121,6,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,2,1.79769313486232e+308
20,9,1,104,1,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,2,1.79769313486232e+308
21,1,1,104,1,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,2,1.79769313486232e+308
21,2,1,104,1,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,2,1.79769313486232e+308
21,3,1,104,1,1,1,0,2,1.79769313486232e+308,2,1.79769313486232e+308,2,1.79769313486232e+308,2,1.79769313486232e+308
21,4,1,104,1,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,2,1.79769313486232e+308
21,5,1,104,1,1,1,0,2,1.79769313486232e+308,2,1.79769313486232e+308,2,1.79769313486232e+308,2,1.79769313486232e+308
21,6,1,104,1,1,1,0,2,1.79769313486232e+308,1,1,2,1.79769313486232e+308,2,1.79769313486232e+308
21,7,1,104,1,1,1,0,2,1.79769313486232e+308,2,1.79769313486232e+308,2,1.79769313486232e+308,2,1.79769313486232e+308
