"grappe","exploitation","passage","s3q00","s3q01","s3q02","s3q03","s3q04","s3q05","s3q06","s3q07","s3q08","s3q08a","s3q09","s3q09a"
28,3,2,2,2,2,2,2,2,2,2,2,,,
28,5,2,2,2,2,2,2,2,2,2,2,,,
28,7,2,2,1,1,2,1,2,1,1,2,,,
28,9,2,2,2,1,2,1,2,2,2,2,,,
29,2,2,2,2,1,2,1,2,2,2,2,,,
29,4,2,2,2,2,2,2,2,2,2,2,,,
29,6,2,2,3,2,2,2,2,2,2,2,,,
29,8,2,2,1,2,2,2,2,2,2,2,,,
30,1,2,2,1,2,2,2,2,2,2,2,,,
30,3,2,2,2,1,2,1,2,1,2,2,,,
30,5,2,2,2,1,2,2,2,2,2,2,,,
30,7,2,2,1,2,2,2,2,2,2,2,,,
30,9,2,2,1,1,2,1,2,2,2,2,,,
31,2,2,2,2,2,2,2,2,2,2,2,,,
31,4,2,2,1,2,2,2,2,2,2,2,,,
31,6,2,2,2,2,2,2,2,2,2,2,,,
31,8,2,2,2,2,2,2,2,2,2,2,,,
32,1,2,2,2,2,2,2,2,2,2,2,,,
32,3,2,2,3,2,2,2,2,2,2,2,,,
32,5,2,2,1,2,2,2,2,2,2,2,,,
32,7,2,2,1,2,2,2,2,1,1,1,2,,
32,9,2,2,1,2,2,1,2,1,2,1,1,,
33,2,2,2,2,2,2,2,2,2,2,1,1,,
33,4,2,2,1,1,1,2,1,1,1,1,3,,
33,6,2,2,1,2,2,2,2,2,2,2,,,
33,8,2,2,1,2,2,2,2,2,2,2,,,
35,1,2,,,,,,,,,,,,
35,2,2,,,,,,,,,,,,
35,4,2,,,,,,,,,,,,
35,5,2,,,,,,,,,,,,
35,6,2,2,1,2,2,2,2,2,2,2,,,
35,7,2,,,,,,,,,,,,
35,8,2,,,,,,,,,,,,
36,1,2,,,,,,,,,,,,
36,2,2,,,,,,,,,,,,
36,3,2,2,1,1,1,1,2,1,2,2,,,
36,4,2,,,,,,,,,,,,
36,5,2,,,,,,,,,,,,
36,7,2,,,,,,,,,,,,
36,8,2,,,,,,,,,,,,
36,9,2,2,2,1,1,1,1,1,1,1,1,,
37,1,2,,,,,,,,,,,,
37,2,2,,,,,,,,,,,,
37,4,2,,,,,,,,,,,,
37,5,2,,,,,,,,,,,,
37,6,2,2,1,2,2,2,2,2,2,2,,,
37,7,2,,,,,,,,,,,,
37,8,2,,,,,,,,,,,,
38,1,2,,,,,,,,,,,,
38,2,2,,,,,,,,,,,,
38,3,2,2,1,2,2,2,2,2,2,2,,,
38,4,2,,,,,,,,,,,,
38,5,2,,,,,,,,,,,,
38,7,2,,,,,,,,,,,,
38,8,2,,,,,,,,,,,,
38,9,2,2,1,2,2,2,2,2,2,2,,,
39,1,2,,,,,,,,,,,,
39,2,2,,,,,,,,,,,,
39,4,2,,,,,,,,,,,,
39,5,2,,,,,,,,,,,,
39,6,2,2,1,2,2,2,2,2,2,2,,,
39,7,2,,,,,,,,,,,,
39,8,2,,,,,,,,,,,,
40,1,2,,,,,,,,,,,,
40,2,2,,,,,,,,,,,,
40,3,2,2,1,98,2,2,2,2,2,2,,,
40,4,2,,,,,,,,,,,,
40,7,2,,,,,,,,,,,,
40,8,2,,,,,,,,,,,,
40,9,2,2,1,2,2,2,2,2,2,2,,,
41,1,2,,,,,,,,,,,,
41,2,2,,,,,,,,,,,,
41,4,2,,,,,,,,,,,,
41,5,2,,,,,,,,,,,,
41,6,2,2,1,2,2,2,2,2,2,2,,,
41,7,2,,,,,,,,,,,,
41,8,2,,,,,,,,,,,,
42,1,2,,,,,,,,,,,,
42,2,2,,,,,,,,,,,,
42,3,2,2,1,2,2,2,2,2,2,2,,,
42,4,2,,,,,,,,,,,,
42,5,2,,,,,,,,,,,,
42,7,2,,,,,,,,,,,,
42,8,2,,,,,,,,,,,,
42,9,2,2,1,2,2,2,2,2,2,2,,,
43,1,2,,,,,,,,,,,,
43,2,2,,,,,,,,,,,,
43,4,2,,,,,,,,,,,,
43,5,2,,,,,,,,,,,,
43,6,2,2,1,2,2,2,2,2,2,2,,,
43,7,2,,,,,,,,,,,,
43,8,2,,,,,,,,,,,,
44,1,2,,,,,,,,,,,,
44,2,2,,,,,,,,,,,,
44,3,2,2,1,2,2,2,2,2,2,2,,,
44,4,2,,,,,,,,,,,,
44,5,2,,,,,,,,,,,,
44,7,2,,,,,,,,,,,,
44,8,2,,,,,,,,,,,,
44,9,2,2,1,2,2,2,2,2,2,2,,,
45,6,2,2,10,1,1,1,2,2,2,98,,,
46,3,2,2,2,1,1,1,2,2,2,2,,,
46,9,2,2,2,1,1,1,2,98,98,98,,,
47,1,2,,,,,,,,,,,,
47,2,2,,,,,,,,,,,,
47,4,2,,,,,,,,,,,,
47,5,2,,,,,,,,,,,,
47,6,2,2,1,2,2,2,2,2,2,2,,,
47,7,2,,,,,,,,,,,,
47,8,2,,,,,,,,,,,,
48,1,2,,,,,,,,,,,,
48,2,2,,,,,,,,,,,,
48,3,2,2,1,2,2,2,2,2,2,2,,,
48,4,2,,,,,,,,,,,,
48,5,2,,,,,,,,,,,,
48,7,2,,,,,,,,,,,,
48,8,2,,,,,,,,,,,,
48,9,2,2,1,2,2,2,2,1,2,2,,,
49,1,2,,,,,,,,,,,,
49,2,2,,,,,,,,,,,,
49,4,2,,,,,,,,,,,,
49,5,2,,,,,,,,,,,,
49,6,2,2,1,1,1,1,2,1,1,1,3,,
49,7,2,,,,,,,,,,,,
49,8,2,,,,,,,,,,,,
50,1,2,,,,,,,,,,,,
50,2,2,,,,,,,,,,,,
50,3,2,2,1,2,2,2,2,2,2,2,,,
50,4,2,,,,,,,,,,,,
50,5,2,,,,,,,,,,,,
50,7,2,,,,,,,,,,,,
50,8,2,,,,,,,,,,,,
50,9,2,2,1,1,1,1,2,1,1,2,,,
51,1,2,,,,,,,,,,,,
51,2,2,,,,,,,,,,,,
51,4,2,,,,,,,,,,,,
51,5,2,,,,,,,,,,,,
51,6,2,2,1,2,2,2,2,2,2,2,,,
51,7,2,,,,,,,,,,,,
51,8,2,,,,,,,,,,,,
52,3,2,2,1,1,1,1,2,2,98,98,,,
52,9,2,2,1,98,98,98,98,98,98,98,,,
54,1,2,,,,,,,,,,,,
54,2,2,,,,,,,,,,,,
54,3,2,2,1,2,2,2,2,2,2,2,,,
54,4,2,,,,,,,,,,,,
54,5,2,,,,,,,,,,,,
54,7,2,,,,,,,,,,,,
54,8,2,,,,,,,,,,,,
54,9,2,2,1,2,2,2,2,2,2,2,,,
55,1,2,,,,,,,,,,,,
55,2,2,,,,,,,,,,,,
55,4,2,,,,,,,,,,,,
55,5,2,,,,,,,,,,,,
55,6,2,2,1,2,2,2,2,2,2,2,,,
55,7,2,,,,,,,,,,,,
55,8,2,,,,,,,,,,,,
56,1,2,,,,,,,,,,,,
56,2,2,,,,,,,,,,,,
56,3,2,2,1,2,2,2,2,2,2,2,,,
56,4,2,,,,,,,,,,,,
56,5,2,,,,,,,,,,,,
56,7,2,,,,,,,,,,,,
56,8,2,,,,,,,,,,,,
56,9,2,2,1,2,2,2,2,2,2,2,,,
57,1,2,,,,,,,,,,,,
57,2,2,,,,,,,,,,,,
57,4,2,,,,,,,,,,,,
57,5,2,,,,,,,,,,,,
57,6,2,2,1,2,2,2,2,2,2,2,,,
57,7,2,,,,,,,,,,,,
57,8,2,,,,,,,,,,,,
58,1,2,,,,,,,,,,,,
58,2,2,,,,,,,,,,,,
58,3,2,2,1,1,1,1,2,1,2,2,,,
58,4,2,,,,,,,,,,,,
58,5,2,,,,,,,,,,,,
58,7,2,,,,,,,,,,,,
58,8,2,,,,,,,,,,,,
58,9,2,2,1,2,2,2,2,2,2,2,,,
59,1,2,,,,,,,,,,,,
59,2,2,,,,,,,,,,,,
59,4,2,,,,,,,,,,,,
59,5,2,,,,,,,,,,,,
59,6,2,2,1,2,2,2,2,2,2,2,,,
59,7,2,,,,,,,,,,,,
59,8,2,,,,,,,,,,,,
60,1,2,,,,,,,,,,,,
60,2,2,,,,,,,,,,,,
60,3,2,2,1,2,2,2,2,2,2,2,,,
60,4,2,,,,,,,,,,,,
60,5,2,,,,,,,,,,,,
60,7,2,,,,,,,,,,,,
60,8,2,,,,,,,,,,,,
60,9,2,2,1,2,2,2,2,2,2,2,,,
61,1,2,,,,,,,,,,,,
61,2,2,,,,,,,,,,,,
61,4,2,,,,,,,,,,,,
61,5,2,,,,,,,,,,,,
61,6,2,2,1,2,2,2,2,2,2,2,,,
61,7,2,,,,,,,,,,,,
61,8,2,,,,,,,,,,,,
62,1,2,,,,,,,,,,,,
62,2,2,,,,,,,,,,,,
62,3,2,2,1,2,2,2,2,2,2,2,,,
62,4,2,,,,,,,,,,,,
62,5,2,,,,,,,,,,,,
62,7,2,,,,,,,,,,,,
62,8,2,,,,,,,,,,,,
62,9,2,2,1,2,2,2,2,2,2,2,,,
63,1,2,,,,,,,,,,,,
63,2,2,,,,,,,,,,,,
63,4,2,,,,,,,,,,,,
63,5,2,,,,,,,,,,,,
63,6,2,2,1,2,1,1,2,2,2,2,,,
63,7,2,,,,,,,,,,,,
63,8,2,,,,,,,,,,,,
64,1,2,,,,,,,,,,,,
64,2,2,,,,,,,,,,,,
64,3,2,2,1,2,2,2,2,2,2,2,,,
64,4,2,,,,,,,,,,,,
64,5,2,,,,,,,,,,,,
64,7,2,,,,,,,,,,,,
64,8,2,,,,,,,,,,,,
64,9,2,2,1,2,2,2,2,2,2,2,,,
65,1,2,,,,,,,,,,,,
65,2,2,,,,,,,,,,,,
65,4,2,,,,,,,,,,,,
65,5,2,,,,,,,,,,,,
65,6,2,2,1,2,2,1,2,2,2,2,,,
65,7,2,,,,,,,,,,,,
65,8,2,,,,,,,,,,,,
66,1,2,,,,,,,,,,,,
66,2,2,,,,,,,,,,,,
66,3,2,2,1,2,2,2,2,2,2,2,,,
66,4,2,,,,,,,,,,,,
66,5,2,,,,,,,,,,,,
66,7,2,,,,,,,,,,,,
66,8,2,,,,,,,,,,,,
66,9,2,2,1,2,2,2,2,2,2,2,,,
67,1,2,,,,,,,,,,,,
67,2,2,,,,,,,,,,,,
67,4,2,,,,,,,,,,,,
67,5,2,,,,,,,,,,,,
67,6,2,2,1,2,2,1,2,2,2,2,,,
67,7,2,,,,,,,,,,,,
67,8,2,,,,,,,,,,,,
68,1,2,,,,,,,,,,,,
68,2,2,,,,,,,,,,,,
68,3,2,2,1,1,1,1,1,1,2,2,,,
68,4,2,,,,,,,,,,,,
68,5,2,,,,,,,,,,,,
68,7,2,,,,,,,,,,,,
68,8,2,,,,,,,,,,,,
68,9,2,2,1,1,1,1,1,1,1,2,,,
69,1,2,,,,,,,,,,,,
69,2,2,,,,,,,,,,,,
69,4,2,,,,,,,,,,,,
69,5,2,,,,,,,,,,,,
69,6,2,2,1,1,1,1,1,1,1,2,,,
69,7,2,,,,,,,,,,,,
69,8,2,,,,,,,,,,,,
70,1,2,,,,,,,,,,,,
70,2,2,,,,,,,,,,,,
70,3,2,2,1,1,2,1,2,2,2,2,,,
70,4,2,,,,,,,,,,,,
70,5,2,,,,,,,,,,,,
70,7,2,,,,,,,,,,,,
70,8,2,,,,,,,,,,,,
70,9,2,2,1,1,1,1,2,1,2,2,,,
71,1,2,,,,,,,,,,,,
71,2,2,,,,,,,,,,,,
71,4,2,,,,,,,,,,,,
71,5,2,,,,,,,,,,,,
71,6,2,2,1,2,2,2,2,2,2,2,,,
71,7,2,,,,,,,,,,,,
71,8,2,,,,,,,,,,,,
72,1,2,,,,,,,,,,,,
72,2,2,,,,,,,,,,,,
72,3,2,2,1,98,2,2,2,1,2,2,,,
72,7,2,,,,,,,,,,,,
72,8,2,,,,,,,,,,,,
72,9,2,2,1,2,1,2,2,2,2,2,,,
73,1,2,,,,,,,,,,,,
73,2,2,,,,,,,,,,,,
73,4,2,,,,,,,,,,,,
73,5,2,,,,,,,,,,,,
73,6,2,2,1,2,2,2,2,2,2,2,,,
73,7,2,,,,,,,,,,,,
73,8,2,,,,,,,,,,,,
74,1,2,,,,,,,,,,,,
74,2,2,,,,,,,,,,,,
74,3,2,2,1,2,2,2,2,98,2,2,,,
74,4,2,,,,,,,,,,,,
74,8,2,,,,,,,,,,,,
74,9,2,2,1,2,2,1,2,2,2,2,,,
75,1,2,,,,,,,,,,,,
75,4,2,,,,,,,,,,,,
75,5,2,,,,,,,,,,,,
75,6,2,2,1,2,2,2,2,2,2,2,,,
75,7,2,,,,,,,,,,,,
75,8,2,,,,,,,,,,,,
76,1,2,,,,,,,,,,,,
76,2,2,,,,,,,,,,,,
76,3,2,2,1,2,2,2,2,2,2,2,,,
76,4,2,,,,,,,,,,,,
76,5,2,,,,,,,,,,,,
76,7,2,,,,,,,,,,,,
76,8,2,,,,,,,,,,,,
76,9,2,2,1,2,2,2,2,2,2,2,,,
77,1,2,,,,,,,,,,,,
77,2,2,,,,,,,,,,,,
77,4,2,,,,,,,,,,,,
77,5,2,,,,,,,,,,,,
77,6,2,2,1,2,2,2,2,2,2,2,,,
77,7,2,,,,,,,,,,,,
77,8,2,,,,,,,,,,,,
78,1,2,,,,,,,,,,,,
78,2,2,,,,,,,,,,,,
78,3,2,2,1,2,1,98,2,98,2,2,,,
78,4,2,,,,,,,,,,,,
78,5,2,,,,,,,,,,,,
78,7,2,,,,,,,,,,,,
78,8,2,,,,,,,,,,,,
78,9,2,2,1,2,2,2,2,98,2,2,,,
79,1,2,,,,,,,,,,,,
79,2,2,,,,,,,,,,,,
79,4,2,,,,,,,,,,,,
79,5,2,,,,,,,,,,,,
79,6,2,2,1,2,2,2,2,2,2,2,,,
79,7,2,,,,,,,,,,,,
79,8,2,,,,,,,,,,,,
80,1,2,,,,,,,,,,,,
80,2,2,,,,,,,,,,,,
80,3,2,2,1,2,2,1,2,2,2,2,,,
80,4,2,,,,,,,,,,,,
80,5,2,,,,,,,,,,,,
80,7,2,,,,,,,,,,,,
80,8,2,,,,,,,,,,,,
80,9,2,2,1,2,2,2,2,2,2,2,,,
81,1,2,,,,,,,,,,,,
81,2,2,,,,,,,,,,,,
81,4,2,,,,,,,,,,,,
81,5,2,,,,,,,,,,,,
81,6,2,2,9,2,2,2,2,2,2,2,,,
81,7,2,,,,,,,,,,,,
81,8,2,,,,,,,,,,,,
82,1,2,,,,,,,,,,,,
82,2,2,,,,,,,,,,,,
82,3,2,2,1,1,2,1,2,2,2,2,,,
82,4,2,,,,,,,,,,,,
82,5,2,,,,,,,,,,,,
82,7,2,,,,,,,,,,,,
82,8,2,,,,,,,,,,,,
82,9,2,2,1,2,2,2,2,2,2,2,,,
83,1,2,,,,,,,,,,,,
83,2,2,,,,,,,,,,,,
83,4,2,,,,,,,,,,,,
83,5,2,,,,,,,,,,,,
83,6,2,2,1,2,2,2,2,2,2,2,,,
83,7,2,,,,,,,,,,,,
83,8,2,,,,,,,,,,,,
84,1,2,,,,,,,,,,,,
84,2,2,,,,,,,,,,,,
84,3,2,2,1,2,2,2,2,2,2,2,,,
84,4,2,,,,,,,,,,,,
84,5,2,,,,,,,,,,,,
84,7,2,,,,,,,,,,,,
84,8,2,,,,,,,,,,,,
84,9,2,2,1,2,2,2,2,2,2,2,,,
86,1,2,,,,,,,,,,,,
86,2,2,,,,,,,,,,,,
86,3,2,2,1,1,2,1,2,2,2,2,,,
86,4,2,,,,,,,,,,,,
86,5,2,,,,,,,,,,,,
86,7,2,,,,,,,,,,,,
86,8,2,,,,,,,,,,,,
86,9,2,2,1,2,1,2,2,2,2,2,,,
87,1,2,,,,,,,,,,,,
87,2,2,,,,,,,,,,,,
87,4,2,,,,,,,,,,,,
87,5,2,,,,,,,,,,,,
87,6,2,2,1,2,2,2,2,2,2,2,,,
87,7,2,,,,,,,,,,,,
87,8,2,,,,,,,,,,,,
88,1,2,,,,,,,,,,,,
88,2,2,,,,,,,,,,,,
88,3,2,2,1,2,2,2,2,2,2,2,,,
88,4,2,,,,,,,,,,,,
88,5,2,,,,,,,,,,,,
88,7,2,,,,,,,,,,,,
88,8,2,,,,,,,,,,,,
88,9,2,2,1,2,2,2,2,2,2,2,,,
89,1,2,,,,,,,,,,,,
89,2,2,,,,,,,,,,,,
89,4,2,,,,,,,,,,,,
89,5,2,,,,,,,,,,,,
89,6,2,2,1,2,2,2,2,2,2,2,,,
89,7,2,,,,,,,,,,,,
89,8,2,,,,,,,,,,,,
90,1,2,,,,,,,,,,,,
90,2,2,,,,,,,,,,,,
90,3,2,2,7,2,2,2,2,2,2,2,,,
90,4,2,,,,,,,,,,,,
90,5,2,,,,,,,,,,,,
90,7,2,,,,,,,,,,,,
90,8,2,,,,,,,,,,,,
90,9,2,2,1,2,2,2,2,2,2,2,,,
91,6,2,2,1,1,1,1,1,1,1,2,,,
92,1,2,,,,,,,,,,,,
92,2,2,,,,,,,,,,,,
92,3,2,2,1,1,1,1,2,1,2,2,,,
92,4,2,,,,,,,,,,,,
92,5,2,,,,,,,,,,,,
92,7,2,,,,,,,,,,,,
92,8,2,,,,,,,,,,,,
92,9,2,2,1,2,2,2,2,2,2,2,,,
93,1,2,,,,,,,,,,,,
93,2,2,,,,,,,,,,,,
93,4,2,,,,,,,,,,,,
93,5,2,,,,,,,,,,,,
93,6,2,2,1,1,1,1,1,1,2,2,,,
93,7,2,,,,,,,,,,,,
93,8,2,,,,,,,,,,,,
95,1,2,,,,,,,,,,,,
95,2,2,,,,,,,,,,,,
95,4,2,,,,,,,,,,,,
95,5,2,,,,,,,,,,,,
95,6,2,2,1,2,2,2,2,2,2,2,,,
95,7,2,,,,,,,,,,,,
95,8,2,,,,,,,,,,,,
96,1,2,,,,,,,,,,,,
96,2,2,,,,,,,,,,,,
96,3,2,2,1,1,1,1,2,1,2,1,1,,
96,4,2,,,,,,,,,,,,
96,5,2,,,,,,,,,,,,
96,7,2,,,,,,,,,,,,
96,8,2,,,,,,,,,,,,
96,9,2,2,1,1,1,1,2,1,2,1,2,,
97,1,2,,,,,,,,,,,,
97,2,2,,,,,,,,,,,,
97,4,2,,,,,,,,,,,,
97,5,2,,,,,,,,,,,,
97,6,2,2,1,2,2,2,2,2,2,2,,,
97,7,2,,,,,,,,,,,,
97,8,2,,,,,,,,,,,,
98,1,2,,,,,,,,,,,,
98,2,2,,,,,,,,,,,,
98,3,2,2,1,1,2,1,2,2,2,2,,,
98,4,2,,,,,,,,,,,,
98,5,2,,,,,,,,,,,,
98,7,2,,,,,,,,,,,,
98,8,2,,,,,,,,,,,,
98,9,2,2,1,2,2,1,2,2,2,2,,,
99,1,2,,,,,,,,,,,,
99,2,2,,,,,,,,,,,,
99,4,2,,,,,,,,,,,,
99,5,2,,,,,,,,,,,,
99,6,2,2,1,2,2,1,2,1,2,2,,,
99,7,2,,,,,,,,,,,,
99,8,2,,,,,,,,,,,,
100,1,2,,,,,,,,,,,,
100,2,2,,,,,,,,,,,,
100,3,2,2,1,2,2,2,2,2,2,2,,,
100,4,2,,,,,,,,,,,,
100,5,2,,,,,,,,,,,,
100,7,2,,,,,,,,,,,,
100,8,2,,,,,,,,,,,,
100,9,2,2,1,2,2,2,2,2,2,2,,,
101,1,2,,,,,,,,,,,,
101,2,2,,,,,,,,,,,,
101,4,2,,,,,,,,,,,,
101,5,2,,,,,,,,,,,,
101,6,2,2,1,1,2,2,2,2,1,2,,,
101,7,2,,,,,,,,,,,,
101,8,2,,,,,,,,,,,,
102,1,2,,,,,,,,,,,,
102,2,2,,,,,,,,,,,,
102,3,2,2,1,1,2,1,2,1,1,2,,,
102,4,2,,,,,,,,,,,,
102,5,2,,,,,,,,,,,,
102,7,2,,,,,,,,,,,,
102,8,2,,,,,,,,,,,,
102,9,2,2,1,1,2,1,2,1,2,2,,,
103,4,2,,,,,,,,,,,,
103,5,2,,,,,,,,,,,,
103,6,2,2,1,2,2,2,2,2,2,2,,,
103,7,2,,,,,,,,,,,,
103,8,2,,,,,,,,,,,,
104,3,2,2,1,1,2,2,2,2,2,2,,,
104,5,2,,,,,,,,,,,,
106,1,2,,,,,,,,,,,,
106,2,2,,,,,,,,,,,,
106,3,2,2,1,2,2,1,2,2,2,2,,,
106,4,2,,,,,,,,,,,,
106,5,2,,,,,,,,,,,,
106,7,2,,,,,,,,,,,,
106,8,2,,,,,,,,,,,,
