"grappe","exploitation","passage","s10q00","s10q01","s10q02","s10q03","s10q04","s10q05","s10q06","s10q07","s10q08","s10q08a","s10q09","s10q09a"
1,3,1,1,1,2,2,2,2,2,2,2,1.79769313486232e+308,2,1.79769313486232e+308
1,6,1,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
1,9,1,1,1,2,1,1,2,2,2,2,1.79769313486232e+308,2,1.79769313486232e+308
2,3,1,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
2,6,1,1,1,1,1,1,1,1,1,1,1,1,1
2,9,1,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
3,3,1,1,1,1,1,1,1,1,1,1,2,1,2
3,6,1,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
3,9,1,1,1,1,1,1,1,1,1,1,1,1,1
4,3,1,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
4,6,1,1,2,2,2,2,2,2,2,2,1.79769313486232e+308,2,1.79769313486232e+308
4,9,1,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
5,3,1,1,7,1,2,2,1,2,2,1,1,2,1.79769313486232e+308
5,6,1,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
5,9,1,1,1,1,2,2,2,2,2,2,1.79769313486232e+308,2,1.79769313486232e+308
6,3,1,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
6,6,1,1,1,2,2,2,2,2,2,2,1.79769313486232e+308,2,1.79769313486232e+308
6,9,1,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
7,3,1,1,1,2,2,2,2,2,2,2,1.79769313486232e+308,2,1.79769313486232e+308
7,6,1,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
7,9,1,1,1,2,2,2,2,2,2,2,1.79769313486232e+308,2,1.79769313486232e+308
8,3,1,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
8,6,1,1,1,2,2,2,2,98,2,2,1.79769313486232e+308,2,1.79769313486232e+308
8,9,1,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
9,3,1,1,1,2,1,1,98,2,98,2,1.79769313486232e+308,2,1.79769313486232e+308
9,6,1,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
9,9,1,1,1,2,2,2,1,98,98,98,1.79769313486232e+308,2,1.79769313486232e+308
10,3,1,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
10,6,1,1,1,2,2,2,2,2,2,2,1.79769313486232e+308,2,1.79769313486232e+308
10,9,1,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
11,3,1,1,1,1,1,1,2,1,2,1,1,2,1.79769313486232e+308
11,6,1,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
11,9,1,1,1,2,2,2,2,2,2,2,1.79769313486232e+308,2,1.79769313486232e+308
12,3,1,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
12,6,1,1,1,2,2,1,2,2,2,2,1.79769313486232e+308,2,1.79769313486232e+308
12,9,1,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
13,3,1,1,1,2,2,2,2,2,2,2,1.79769313486232e+308,2,1.79769313486232e+308
13,6,1,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
13,9,1,1,1,1,2,1,1,2,2,2,1.79769313486232e+308,2,1.79769313486232e+308
14,3,1,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
14,6,1,1,4,2,2,2,2,2,2,2,1.79769313486232e+308,2,1.79769313486232e+308
14,9,1,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
15,3,1,1,2,2,2,2,2,2,2,2,1.79769313486232e+308,2,1.79769313486232e+308
15,6,1,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
15,9,1,1,1,2,2,2,2,2,2,2,1.79769313486232e+308,2,1.79769313486232e+308
16,3,1,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
16,6,1,1,1,1,1,1,1,1,1,1,2,1,2
16,9,1,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
17,3,1,1,1,2,2,2,2,2,2,2,1.79769313486232e+308,2,1.79769313486232e+308
17,6,1,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
17,9,1,1,1,2,2,2,2,2,2,2,1.79769313486232e+308,2,1.79769313486232e+308
18,3,1,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
18,6,1,1,1,2,2,2,2,2,2,2,1.79769313486232e+308,2,1.79769313486232e+308
18,9,1,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
19,3,1,1,1,1,1,1,1,1,2,98,1.79769313486232e+308,2,1.79769313486232e+308
19,6,1,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
19,9,1,1,1,1,1,2,1,1,1,1,1,1,1
20,3,1,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
20,6,1,1,1,2,2,2,2,2,2,2,1.79769313486232e+308,2,1.79769313486232e+308
20,9,1,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
21,3,1,1,1,1,1,1,1,1,2,2,1.79769313486232e+308,2,1.79769313486232e+308
21,6,1,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
22,3,1,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
22,6,1,1,1,2,98,2,2,2,2,2,1.79769313486232e+308,2,1.79769313486232e+308
22,9,1,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
23,3,1,1,1,2,2,1,2,2,2,2,1.79769313486232e+308,2,1.79769313486232e+308
23,6,1,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
23,9,1,1,1,2,2,2,2,2,2,2,1.79769313486232e+308,2,1.79769313486232e+308
25,1,1,1,1,2,2,2,2,2,2,2,1.79769313486232e+308,2,1.79769313486232e+308
25,2,1,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
25,3,1,1,1,2,2,2,2,2,2,2,1.79769313486232e+308,2,1.79769313486232e+308
25,4,1,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
25,5,1,1,1,2,2,2,2,2,2,2,1.79769313486232e+308,2,1.79769313486232e+308
25,6,1,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
25,7,1,1,1,2,2,2,2,2,2,2,1.79769313486232e+308,2,1.79769313486232e+308
25,8,1,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
25,9,1,1,1,2,2,2,2,2,2,2,1.79769313486232e+308,2,1.79769313486232e+308
26,1,1,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
26,2,1,1,2,2,2,2,2,2,2,2,1.79769313486232e+308,2,1.79769313486232e+308
26,3,1,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
26,4,1,1,1,2,2,2,2,2,2,2,1.79769313486232e+308,2,1.79769313486232e+308
26,5,1,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
26,6,1,1,1,2,2,2,2,2,2,2,1.79769313486232e+308,2,1.79769313486232e+308
26,7,1,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
26,8,1,1,2,2,2,2,2,2,2,2,1.79769313486232e+308,2,1.79769313486232e+308
26,9,1,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
27,1,1,1,2,2,2,2,2,2,2,2,1.79769313486232e+308,2,1.79769313486232e+308
27,2,1,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
27,3,1,1,1,2,2,2,2,2,2,2,1.79769313486232e+308,2,1.79769313486232e+308
27,4,1,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
27,5,1,1,2,2,2,2,2,2,2,2,1.79769313486232e+308,2,1.79769313486232e+308
27,6,1,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
27,7,1,1,2,2,2,2,2,2,2,2,1.79769313486232e+308,2,1.79769313486232e+308
27,8,1,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
27,9,1,1,1,2,2,2,2,2,2,2,1.79769313486232e+308,2,1.79769313486232e+308
28,1,1,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
28,2,1,1,2,2,2,2,2,2,2,2,1.79769313486232e+308,2,1.79769313486232e+308
28,3,1,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
28,4,1,1,2,1,1,1,2,2,2,2,1.79769313486232e+308,2,1.79769313486232e+308
28,5,1,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
28,6,1,1,1,1,2,1,2,1,1,2,1.79769313486232e+308,2,1.79769313486232e+308
28,7,1,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
28,8,1,1,6,1,2,1,2,2,2,2,1.79769313486232e+308,2,1.79769313486232e+308
28,9,1,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
29,1,1,1,2,2,2,2,2,2,2,2,1.79769313486232e+308,2,1.79769313486232e+308
29,2,1,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
29,3,1,1,1,2,2,2,2,2,2,2,1.79769313486232e+308,2,1.79769313486232e+308
29,4,1,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
29,5,1,1,2,1,1,1,1,1,1,1,2,2,1.79769313486232e+308
29,6,1,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
29,7,1,1,2,2,2,2,2,2,2,2,1.79769313486232e+308,2,1.79769313486232e+308
29,8,1,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
29,9,1,1,2,2,2,2,2,2,2,2,1.79769313486232e+308,2,1.79769313486232e+308
30,1,1,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
30,2,1,1,1,2,2,2,2,2,2,2,1.79769313486232e+308,2,1.79769313486232e+308
30,3,1,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
30,4,1,1,2,2,2,2,2,2,2,2,1.79769313486232e+308,2,1.79769313486232e+308
30,5,1,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
30,6,1,1,1,2,2,2,2,2,2,2,1.79769313486232e+308,2,1.79769313486232e+308
30,7,1,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
30,8,1,1,2,2,2,2,2,2,2,2,1.79769313486232e+308,2,1.79769313486232e+308
30,9,1,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
31,1,1,1,1,2,2,2,2,2,2,2,1.79769313486232e+308,2,1.79769313486232e+308
31,2,1,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
31,3,1,1,9,2,2,2,2,2,2,2,1.79769313486232e+308,2,1.79769313486232e+308
31,4,1,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
31,5,1,1,2,2,2,2,2,2,2,2,1.79769313486232e+308,2,1.79769313486232e+308
31,6,1,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
31,7,1,1,2,2,2,2,2,2,2,2,1.79769313486232e+308,2,1.79769313486232e+308
31,8,1,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
31,9,1,1,2,2,2,2,2,2,2,2,1.79769313486232e+308,2,1.79769313486232e+308
32,1,1,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
32,2,1,1,1,2,2,2,2,2,2,2,1.79769313486232e+308,2,1.79769313486232e+308
32,3,1,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
32,4,1,1,1,2,2,2,2,2,2,2,1.79769313486232e+308,98,1.79769313486232e+308
32,5,1,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
32,6,1,1,1,2,2,2,2,2,2,2,1.79769313486232e+308,98,1.79769313486232e+308
32,7,1,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
32,8,1,1,1,2,2,2,2,2,2,2,1.79769313486232e+308,2,1.79769313486232e+308
32,9,1,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
33,1,1,1,3,2,2,2,2,2,2,2,1.79769313486232e+308,1,2
33,2,1,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
33,3,1,1,1,2,2,2,2,2,2,2,1.79769313486232e+308,2,1.79769313486232e+308
33,4,1,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
33,5,1,1,1,1,2,2,2,2,2,2,1.79769313486232e+308,2,1.79769313486232e+308
33,6,1,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
33,7,1,1,3,2,2,2,2,2,2,98,1.79769313486232e+308,98,1.79769313486232e+308
33,8,1,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
33,9,1,1,1,1,1,1,2,2,2,2,1.79769313486232e+308,2,1.79769313486232e+308
35,3,1,1,4,2,1,2,1,2,2,2,1.79769313486232e+308,2,1.79769313486232e+308
35,6,1,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
35,9,1,1,7,2,2,2,2,2,2,2,1.79769313486232e+308,2,1.79769313486232e+308
36,3,1,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
36,6,1,1,1,1,1,1,1,1,2,2,1.79769313486232e+308,2,1.79769313486232e+308
36,9,1,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
37,3,1,1,1,2,2,2,2,2,2,2,1.79769313486232e+308,2,1.79769313486232e+308
37,6,1,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
37,9,1,1,1,2,2,2,2,2,2,2,1.79769313486232e+308,2,1.79769313486232e+308
38,3,1,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
