"grappe","exploitation","passage","s11cq01","s11cq02","s11cq03","s11cq05","s11cq06","s11cq07","s11cq08","s11cq09","s11cq10","s11cq11a","s11cq11b","s11cq12","s11cq13","s11cq14a","s11cq14b","s11cq15","s11cq16a","s11cq16b","s11cq16c","s11cq17","s11cq18"
1,2,1,1,1,121,1,1,100,2,1.79769313486232e+308,2,5,2,2,1.79769313486232e+308,15,7,2,6,4,100,2,9
1,3,1,1,1,102,1,1,100,2,1.79769313486232e+308,2,12.5,2,2,1.79769313486232e+308,20,7,2,6,4,100,2,9
1,4,1,6,1,121,8,1,100,2,1.79769313486232e+308,2,7.5,2,2,1.79769313486232e+308,30,7,2,4,4,100,3,9
1,5,1,3,1,121,1,1,100,2,1.79769313486232e+308,2,1,2,2,1.79769313486232e+308,20,7,2,6,4,100,3,9
1,6,1,3,1,121,1,1,100,2,1.79769313486232e+308,2,18,2,2,1.79769313486232e+308,25,7,2,5,4,100,3,9
1,7,1,3,1,121,1,1,100,2,1.79769313486232e+308,2,30,2,2,1.79769313486232e+308,25,7,2,10,4,100,3,9
1,8,1,3,1,102,1,1,100,2,1.79769313486232e+308,2,5,2,2,1.79769313486232e+308,17,7,2,5,4,100,3,9
1,9,1,3,1,120,1,1,100,2,1.79769313486232e+308,2,2.5,2,2,1.79769313486232e+308,27,7,2,4,4,50,3,9
2,1,1,2,1,102,1,1,100,2,1.79769313486232e+308,1,5,2,1,1000,10,6,2,3,4,100,2,2
2,2,1,2,1,104,1,1,100,2,1.79769313486232e+308,1,3,2,2,1.79769313486232e+308,13,6,2,2,2,100,2,2
2,3,1,1,1,104,1,1,100,2,1.79769313486232e+308,1,6,2,1,1500,5,7,2,3,4,100,2,2
2,4,1,2,1,102,1,1,100,2,1.79769313486232e+308,1,70,2,2,1.79769313486232e+308,20,7,2,0,4,100,2,2
2,5,1,2,1,104,1,1,100,2,1.79769313486232e+308,1,100,2,1,7500,10,7,2,10,4,100,2,2
2,6,1,3,2,121,1,1,100,2,1.79769313486232e+308,1,10,2,1,5000,7,7,2,3,4,50,2,2
2,7,1,1,1,102,1,1,100,2,1.79769313486232e+308,1,25,2,2,1.79769313486232e+308,10,7,2,5,4,100,2,2
2,8,1,2,1,102,1,1,100,2,1.79769313486232e+308,1,8,2,1,2000,25,7,2,4,4,50,2,2
2,9,1,1,2,104,1,1,100,2,1.79769313486232e+308,1,10,2,1,2500,16,7,2,2,4,50,2,2
3,1,1,1,1,102,1,1,100,2,1.79769313486232e+308,1,8,2,1,5000,5,8,2,5,4,0,3,2
3,2,1,1,1,102,1,1,100,2,1.79769313486232e+308,1,18,2,1,4500,10,6,2,4,4,0,1,2
3,3,1,1,1,102,1,1,100,2,1.79769313486232e+308,1,18,2,1,5400,10,6,2,4,4,100,2,2
3,4,1,1,1,104,4,1,100,2,1.79769313486232e+308,1,22,2,1,5500,6,6,2,5,4,0,2,2
3,5,1,1,1,102,1,1,100,2,1.79769313486232e+308,1,10,2,1,2500,8,6,2,3,4,0,2,2
3,6,1,1,2,102,1,1,100,2,1.79769313486232e+308,1,11,2,1,3500,11,6,2,3,4,100,1,2
3,7,1,1,1,102,1,1,100,2,1.79769313486232e+308,1,13.5,2,1,3900,15,6,2,4,4,0,1,2
3,8,1,3,1,208,1,1,100,2,1.79769313486232e+308,1,5,2,1,600,3,7,2,5,7,0,1,2
3,9,1,1,1,102,1,1,100,2,1.79769313486232e+308,1,10,2,2,1.79769313486232e+308,15,6,1,4,4,100,2,2
4,7,1,1,1,102,1,1,100,2,1.79769313486232e+308,2,10,2,2,1.79769313486232e+308,30,7,2,10,4,100,3,9
5,1,1,1,2,120,2,1,100,2,1.79769313486232e+308,1,7,2,2,1.79769313486232e+308,1,7,2,1,4,100,3,5
5,2,1,1,2,121,1,1,100,2,1.79769313486232e+308,1,80,2,2,1.79769313486232e+308,7,7,2,12,1,1,2,5
5,3,1,1,1,120,7,1,100,2,1.79769313486232e+308,1,2,2,2,1.79769313486232e+308,1,7,2,400,1,1,1,11
5,4,1,1,1,121,1,1,100,2,1.79769313486232e+308,1,10,2,1,7500,1,6,2,600,1,1,3,2
5,7,1.79769313486232e+308,2,1,121,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
6,1,1,1,1,104,1,1,100,2,1.79769313486232e+308,1,6,2,1,5000,24,6,2,4,4,100,2,9
6,2,1,2,1,102,1,1,100,2,1.79769313486232e+308,1,15,2,1,1500,21,6,2,10,4,100,2,9
6,4,1,1,1,104,1,1,100,2,1.79769313486232e+308,1,10,2,2,1.79769313486232e+308,20,6,2,5,4,100,2,9
6,5,1,1,1,104,1,1,100,2,1.79769313486232e+308,1,11,2,2,1.79769313486232e+308,20,6,2,7,4,100,2,9
6,6,1,1,1,102,1,1,100,2,1.79769313486232e+308,1,7,2,2,1.79769313486232e+308,18,6,2,3,4,100,2,9
6,7,1,2,1,102,1,1,100,2,1.79769313486232e+308,1,16,2,2,1.79769313486232e+308,21,6,2,7,4,100,2,6
6,8,1,2,1,102,1,1,100,2,1.79769313486232e+308,1,14,2,2,1.79769313486232e+308,22,6,2,6,4,100,2,9
6,9,1,1,1,104,1,1,100,2,1.79769313486232e+308,1,12,2,2,1.79769313486232e+308,22,6,2,7,4,100,1,9
7,1,1,5,1,121,1,1,100,2,1.79769313486232e+308,1,40,2,2,1.79769313486232e+308,20,7,2,7,4,100,2,9
7,2,1,3,1,121,1,1,100,2,1.79769313486232e+308,1,35,2,2,1.79769313486232e+308,20,7,2,6,4,100,1,9
7,3,1,2,1,121,1,1,100,2,1.79769313486232e+308,1,27,2,2,1.79769313486232e+308,20,7,2,3,4,100,2,9
7,4,1,1,1,104,1,1,100,2,1.79769313486232e+308,1,7,2,2,1.79769313486232e+308,20,6,2,2,4,100,2,7
7,5,1,1,1,104,1,1,100,2,1.79769313486232e+308,1,10,2,2,1.79769313486232e+308,22,6,2,5,4,100,2,9
7,6,1,2,1,102,1,1,100,2,1.79769313486232e+308,1,12,2,2,1.79769313486232e+308,20,6,1,3,4,100,2,6
7,7,1,1,1,104,1,1,100,2,1.79769313486232e+308,1,11,2,1,2000,22,6,2,6,4,100,2,9
7,8,1,1,1,104,1,1,100,2,1.79769313486232e+308,1,15,2,2,1.79769313486232e+308,24,6,2,5,4,100,2,9
7,9,1,3,1,121,1,1,100,2,1.79769313486232e+308,1,30,2,2,1.79769313486232e+308,20,7,2,5,4,100,2,9
8,1,1,1,1,104,1,1,100,2,1.79769313486232e+308,1,20,2,2,1.79769313486232e+308,25,6,2,10,4,100,2,7
8,2,1,1,1,104,1,1,100,2,1.79769313486232e+308,1,7,2,2,1.79769313486232e+308,25,6,2,3,4,100,2,9
8,3,1,4,1,121,1,1,100,2,1.79769313486232e+308,1,20,2,2,1.79769313486232e+308,7,7,2,4,4,100,2,9
8,4,1,1,1,104,1,1,100,2,1.79769313486232e+308,1,15,2,2,1.79769313486232e+308,27,6,2,3,4,100,2,9
8,6,1,2,1,102,1,1,100,2,1.79769313486232e+308,1,20,2,2,1.79769313486232e+308,26,6,2,4,4,100,2,9
8,7,1,4,1,121,1,1,100,2,1.79769313486232e+308,1,15,2,2,1.79769313486232e+308,27,7,2,4,4,100,2,7
8,8,1,3,1,208,1,1,100,2,1.79769313486232e+308,1,3,2,2,1.79769313486232e+308,20,6,2,6,6,25,2,9
8,9,1,1,1,104,1,1,100,2,1.79769313486232e+308,1,8,2,2,1.79769313486232e+308,25,6,1,5,4,100,2,7
9,1,1,1,1,104,1,1,100,2,1.79769313486232e+308,1,18,2,2,1.79769313486232e+308,20,6,2,6,4,100,2,7
9,2,1,2,1,104,1,1,100,2,1.79769313486232e+308,1,10,2,2,1.79769313486232e+308,22,6,2,2,4,100,2,7
9,3,1,3,1,121,1,1,100,2,1.79769313486232e+308,1,16,2,2,1.79769313486232e+308,16,7,2,3,4,100,2,9
9,4,1,1,1,102,1,1,100,2,1.79769313486232e+308,1,14,2,2,1.79769313486232e+308,27,6,2,5,4,100,2,9
9,5,1,4,1,121,1,1,100,2,1.79769313486232e+308,1,20,2,2,1.79769313486232e+308,13,7,2,4,4,100,2,9
9,6,1,1,1,121,1,1,100,2,1.79769313486232e+308,1,15,2,2,1.79769313486232e+308,20,6,2,10,4,50,2,7
9,7,1,3,1,121,1,1,100,2,1.79769313486232e+308,1,13,2,2,1.79769313486232e+308,17,7,2,3,4,100,3,9
9,8,1,1,1,104,1,1,100,2,1.79769313486232e+308,1,10,2,2,1.79769313486232e+308,11,7,2,5,4,100,3,8
9,9,1,3,1,121,1,1,100,2,1.79769313486232e+308,1,20,2,2,1.79769313486232e+308,21,7,2,5,4,100,2,7
10,1,1,2,5,121,1,1,100,2,1.79769313486232e+308,1,40,2,1,40000,10,7,3,7,4,100,1,8
10,2,1,1,1,102,5,1,100,2,1.79769313486232e+308,1,45,2,2,1.79769313486232e+308,15,7,3,25,4,100,2,2
10,3,1,1,2,121,1,1,100,2,1.79769313486232e+308,1,5,2,1,5000,25,7,2,2,4,100,2,7
10,4,1,1,4,121,1,1,100,2,1.79769313486232e+308,1,18,2,1,18000,15,7,3,5,4,50,1,8
10,5,1,1,4,121,1,1,100,2,1.79769313486232e+308,1,20,2,1,17500,25,7,3,4,4,100,1,8
10,6,1,1,3,121,1,1,100,2,1.79769313486232e+308,1,15,2,1,15000,20,7,3,3,4,100,1,8
10,7,1,1,1,102,1,1,100,2,1.79769313486232e+308,1,50,2,2,1.79769313486232e+308,10,7,3,17,2,100,1,8
10,8,1,1,3,121,1,1,100,2,1.79769313486232e+308,1,25,2,1,22500,15,7,3,5,4,100,1,8
10,9,1,1,3,121,1,1,100,2,1.79769313486232e+308,1,35,2,2,1.79769313486232e+308,12,7,3,6,4,100,1,8
11,1,1,1,1,102,1,1,100,2,1.79769313486232e+308,1,25,2,2,1.79769313486232e+308,10,7,3,6,4,100,1,8
11,2,1,2,1,121,1,1,100,2,1.79769313486232e+308,1,25,2,1,22500,15,7,3,4,4,100,1,8
11,3,1,1,7,121,1,1,100,2,1.79769313486232e+308,1,18,2,1,12500,15,7,3,3,4,100,1,8
11,4,1,1,1,102,1,1,100,2,1.79769313486232e+308,2,20,2,2,1.79769313486232e+308,10,7,3,5,4,100,1,8
11,5,1,1,1,121,1,1,100,2,1.79769313486232e+308,1,25,2,1,20000,15,7,3,6,4,100,1,8
11,6,1,1,6,121,1,1,100,2,1.79769313486232e+308,1,15,2,1,15000,15,7,3,5,4,50,1,8
11,7,1,1,1,102,1,1,100,2,1.79769313486232e+308,1,20,2,2,1.79769313486232e+308,10,7,3,12,4,100,1,8
11,8,1,1,2,121,15,1,100,2,1.79769313486232e+308,1,35,2,1,25000,15,7,3,7,4,100,1,8
11,9,1,1,3,121,1,1,100,2,1.79769313486232e+308,1,30,2,1,18000,15,7,3,5,4,50,1,8
12,1,1,1,2,102,1,1,100,2,1.79769313486232e+308,3,10,2,2,1.79769313486232e+308,10,7,2,7,4,100,2,9
12,2,1,1,1,102,1,1,100,2,1.79769313486232e+308,1,5,2,2,1.79769313486232e+308,15,7,2,6,4,100,2,9
12,3,1,1,5,121,2,1,100,2,1.79769313486232e+308,5,7,2,2,1.79769313486232e+308,10,8,3,7,4,100,2,9
12,4,1,2,5,121,1,1,100,2,1.79769313486232e+308,3,5,2,2,1.79769313486232e+308,1,8,3,6,4,100,2,9
12,5,1,2,3,121,16,1,100,2,1.79769313486232e+308,4,5,2,2,1.79769313486232e+308,12,8,3,7,4,100,3,9
12,6,1,1,2,121,1,1,100,2,1.79769313486232e+308,5,7,2,2,1.79769313486232e+308,2,8,3,5,4,100,2,9
12,7,1,1,3,121,1,1,100,2,1.79769313486232e+308,3,4,2,2,1.79769313486232e+308,31,7,3,6,4,100,2,9
12,8,1,1,1,102,1,1,100,2,1.79769313486232e+308,1,3,2,1,500,6,7,2,4,4,100,2,7
12,9,1,1,1,102,3,1,100,2,1.79769313486232e+308,5,20,2,2,1.79769313486232e+308,5,8,2,8,4,100,3,9
13,1,1,1,1,102,1,1,100,2,1.79769313486232e+308,1,12,2,2,1.79769313486232e+308,30,7,3,6,4,100,2,7
13,2,1,1,2,121,1,1,100,2,1.79769313486232e+308,1,5,2,1,3500,30,7,3,5,4,100,2,7
13,3,1,2,6,121,1,1,100,2,1.79769313486232e+308,1,3.5,2,1,2500,29,8,3,5,4,100,3,7
13,4,1,2,2,121,2,1,100,2,1.79769313486232e+308,5,4,2,2,1.79769313486232e+308,2,8,2,5,4,100,3,7
13,5,1,2,1,102,1,1,100,2,1.79769313486232e+308,5,25,2,2,1.79769313486232e+308,2,8,2,8,4,100,2,9
13,6,1,1,1,102,1,1,100,2,1.79769313486232e+308,5,30,2,2,1.79769313486232e+308,20,7,3,10,4,100,2,7
13,7,1,2,2,121,1,1,100,2,1.79769313486232e+308,4,4,2,2,1.79769313486232e+308,30,7,3,5,4,100,3,7
13,8,1,2,2,121,10,1,100,2,1.79769313486232e+308,1,6,2,1,4200,30,8,3,5,4,100,3,7
13,9,1,1,1,102,1,1,100,2,1.79769313486232e+308,4,5,2,2,1.79769313486232e+308,20,7,3,6,4,100,3,7
14,1,1,2,1,102,1,1,100,2,1.79769313486232e+308,1,12,2,1,5000,4,7,2,15,4,100,3,9
14,2,1,1,1,102,1,1,100,2,1.79769313486232e+308,1,11,2,2,1.79769313486232e+308,6,7,2,8,4,100,2,7
14,3,1,1,1,102,3,1,100,2,1.79769313486232e+308,1,9,2,2,1.79769313486232e+308,2,7,2,8,4,100,2,9
14,4,1,1,1,121,1,1,100,2,1.79769313486232e+308,1,18,2,2,1.79769313486232e+308,8,7,2,7,4,100,2,5
14,5,1,3,1,121,8,1,100,2,1.79769313486232e+308,1,29,2,2,1.79769313486232e+308,13,7,2,20,4,50,2,9
14,6,1,3,1,121,4,1,100,2,1.79769313486232e+308,1,12,2,2,1.79769313486232e+308,11,7,2,16,4,100,2,9
14,7,1,2,1,102,1,1,100,2,1.79769313486232e+308,1,8,2,2,1.79769313486232e+308,10,7,2,9,4,50,3,9
14,8,1,4,2,208,1,1,100,2,1.79769313486232e+308,1,10,2,2,1.79769313486232e+308,28,6,3,5,4,100,2,9
14,9,1,3,1,120,1,1,100,2,1.79769313486232e+308,1,8,2,2,1.79769313486232e+308,11,8,2,1,4,100,2,7
15,1,1,2,1,102,1,1,100,2,1.79769313486232e+308,1,11,2,2,1.79769313486232e+308,4,7,3,10,4,100,2,9
15,2,1,2,1,121,1,1,100,2,1.79769313486232e+308,1,25,2,1,6000,20,7,2,5,4,100,2,9
15,3,1,1,1,104,2,1,100,2,1.79769313486232e+308,1,10,2,2,1.79769313486232e+308,5,7,2,10,4,100,3,9
15,4,1,1,1,121,2,1,100,2,1.79769313486232e+308,1,20,2,2,1.79769313486232e+308,10,7,2,10,4,100,3,9
15,5,1,2,1,104,1,1,100,2,1.79769313486232e+308,1,6,2,2,1.79769313486232e+308,10,8,2,5,4,100,3,9
15,6,1,3,2,104,2,1,100,2,1.79769313486232e+308,1,7,2,2,1.79769313486232e+308,8,6,2,5,4,100,2,9
15,7,1,1,1,121,3,1,100,2,1.79769313486232e+308,1,25,2,2,1.79769313486232e+308,16,7,2,10,4,100,2,9
15,8,1,1,2,121,1,1,100,2,1.79769313486232e+308,1,25,2,2,1.79769313486232e+308,4,7,3,13,4,100,2,9
15,9,1,3,1,121,1,1,100,2,1.79769313486232e+308,1,20,2,2,1.79769313486232e+308,15,7,2,8,4,100,2,5
16,1,1,1,1,104,1,1,100,2,1.79769313486232e+308,1,8,2,2,1.79769313486232e+308,5,7,2,6,4,100,3,9
16,2,1,2,2,102,1,1,100,2,1.79769313486232e+308,1,11,2,2,1.79769313486232e+308,10,7,2,7,4,100,3,5
16,3,1,1,2,104,1,1,100,2,1.79769313486232e+308,1,6,2,2,1.79769313486232e+308,11,7,2,3,4,100,3,9
16,4,1,1,2,104,1,1,100,2,1.79769313486232e+308,1,10,2,2,1.79769313486232e+308,2,7,2,5,4,100,3,9
16,5,1,2,1,104,1,1,100,2,1.79769313486232e+308,1,10,2,2,1.79769313486232e+308,7,7,3,5,4,100,2,7
16,6,1,3,1,121,1,1,100,2,1.79769313486232e+308,1,9,2,2,1.79769313486232e+308,10,7,2,3,4,100,3,9
16,7,1,4,1,208,1,1,100,2,1.79769313486232e+308,1,6,2,2,1.79769313486232e+308,26,6,2,2,4,50,2,7
16,8,1,2,1,121,1,1,100,2,1.79769313486232e+308,1,4,2,2,1.79769313486232e+308,22,7,2,2,4,100,2,7
16,9,1,1,2,104,1,1,100,2,1.79769313486232e+308,1,10,2,2,1.79769313486232e+308,4,7,1,3,4,100,3,9
17,1,1,3,1,121,1,1,100,2,1.79769313486232e+308,1,22,2,2,1.79769313486232e+308,20,7,2,3,4,100,3,9
17,2,1,2,1,121,1,1,100,2,1.79769313486232e+308,1,35,2,2,1.79769313486232e+308,20,7,2,5,4,100,2,9
17,3,1,3,1,121,1,1,100,2,1.79769313486232e+308,1,20,2,2,1.79769313486232e+308,23,7,2,4,4,100,2,8
17,4,1,1,1,104,1,1,100,2,1.79769313486232e+308,1,7,2,2,1.79769313486232e+308,24,6,2,2,4,100,2,2
17,5,1,3,1,121,1,1,100,2,1.79769313486232e+308,1,20,2,2,1.79769313486232e+308,18,7,2,3,4,100,2,9
17,6,1,2,1,121,1,1,100,2,1.79769313486232e+308,1,20,2,2,1.79769313486232e+308,20,7,2,3,4,100,2,9
17,7,1,1,1,104,1,1,100,2,1.79769313486232e+308,1,8,2,2,1.79769313486232e+308,23,6,2,4,4,100,2,2
17,8,1,1,1,104,1,1,100,2,1.79769313486232e+308,1,7,2,2,1.79769313486232e+308,25,6,1,2,4,100,3,2
17,9,1,1,1,104,1,1,100,2,1.79769313486232e+308,1,8,2,2,1.79769313486232e+308,20,6,2,5,4,100,2,9
18,1,1,1,1,104,1,1,100,2,1.79769313486232e+308,1,27,2,2,1.79769313486232e+308,22,6,2,3,4,100,2,9
18,2,1,4,1,213,0,1,100,2,1.79769313486232e+308,1,1,2,1,7000,4,7,2,3,2,400,2,7
18,3,1,1,1,101,1,1,100,2,1.79769313486232e+308,1,40,2,2,1.79769313486232e+308,10,6,2,4,4,100,2,9
18,4,1,3,1,121,1,1,100,2,1.79769313486232e+308,1,22,2,2,1.79769313486232e+308,15,7,3,7,4,100,2,7
18,5,1,5,1,121,1,1,100,2,1.79769313486232e+308,1,25,2,2,1.79769313486232e+308,16,7,2,4,4,100,2,7
18,6,1,1,1,104,1,1,100,2,1.79769313486232e+308,1,7,2,2,1.79769313486232e+308,20,6,2,3,4,100,2,9
18,7,1,4,1,121,1,1,100,2,1.79769313486232e+308,1,38,2,2,1.79769313486232e+308,16,7,2,7,4,100,2,9
18,8,1,3,1,121,1,1,100,2,1.79769313486232e+308,1,25,2,2,1.79769313486232e+308,18,7,2,4,4,100,2,9
18,9,1,3,1,121,1,1,100,2,1.79769313486232e+308,1,28,2,2,1.79769313486232e+308,17,7,2,5,4,100,2,9
19,1,1,1,1,104,1,1,100,2,1.79769313486232e+308,1,12,2,2,1.79769313486232e+308,16,7,2,3,4,100,2,9
19,2,1,1,1,104,1,1,100,2,1.79769313486232e+308,1,13,2,2,1.79769313486232e+308,16,7,2,3,4,100,2,9
19,3,1,1,1,104,1,1,100,2,1.79769313486232e+308,1,12,2,2,1.79769313486232e+308,15,7,2,3,4,100,2,9
19,4,1,1,1,104,1,1,100,2,1.79769313486232e+308,1,14,2,2,1.79769313486232e+308,16,7,2,3,4,100,2,9
19,5,1,1,1,104,1,1,100,2,1.79769313486232e+308,1,15,2,2,1.79769313486232e+308,15,7,2,3,4,100,2,9
19,6,1,1,1,104,1,1,100,2,1.79769313486232e+308,1,13,2,2,1.79769313486232e+308,16,7,2,3,4,100,2,5
19,7,1,1,1,104,1,1,100,2,1.79769313486232e+308,1,16,2,2,1.79769313486232e+308,16,7,2,4,4,100,2,5
19,8,1,1,1,104,1,1,100,2,1.79769313486232e+308,1,15,2,2,1.79769313486232e+308,15,7,2,4,4,100,2,9
19,9,1,1,1,104,1,1,100,2,1.79769313486232e+308,1,15,2,2,1.79769313486232e+308,16,7,2,4,4,100,2,5
20,1,1,1,1,121,1,1,100,2,1.79769313486232e+308,1,1,2,2,1.79769313486232e+308,14,8,2,60,1,1,2,7
20,3,1,1,1,104,1,1,100,2,1.79769313486232e+308,1,50,2,2,1.79769313486232e+308,15,8,2,24,4,100,2,7
20,4,1,1,1,104,1,1,100,2,1.79769313486232e+308,1,15,2,2,1.79769313486232e+308,14,8,2,500,1,1,2,7
20,5,1,2,1,121,1,1,100,2,1.79769313486232e+308,1,1,2,2,1.79769313486232e+308,18,8,2,45,1,1,2,7
20,6,1,1,1,104,1,1,100,2,1.79769313486232e+308,1,50,2,2,1.79769313486232e+308,13,8,2,16,4,100,2,7
20,7,1,1,1,104,1,1,100,2,1.79769313486232e+308,1,10,2,2,1.79769313486232e+308,16,8,2,6,4,100,2,7
20,8,1,2,2,121,6,1,100,2,1.79769313486232e+308,1,9,2,2,1.79769313486232e+308,23,8,2,1,4,50,2,7
20,9,1,1,1,104,1,1,100,2,1.79769313486232e+308,1,12,2,2,1.79769313486232e+308,15,8,2,5,4,100,2,7
21,1,1,1,1,104,1,1,100,2,1.79769313486232e+308,1,7,2,2,1.79769313486232e+308,15,7,1,1,4,100,2,9
21,2,1,2,1,104,1,1,100,2,1.79769313486232e+308,1,10,2,2,1.79769313486232e+308,15,7,1,2,4,100,3,9
21,3,1,2,1,104,1,1,100,2,1.79769313486232e+308,1,25,2,2,1.79769313486232e+308,17,7,1,3,4,50,2,6
21,4,1,1,1,104,1,1,100,2,1.79769313486232e+308,1,35,2,2,1.79769313486232e+308,15,7,2,3,4,50,3,9
21,5,1,1,1,104,1,1,100,2,1.79769313486232e+308,1,12,2,2,1.79769313486232e+308,13,7,3,1,4,1,2,9
21,6,1,1,1,104,1,1,100,2,1.79769313486232e+308,1,10,2,2,1.79769313486232e+308,15,7,3,1,4,50,2,9
21,7,1,1,1,104,1,1,100,2,1.79769313486232e+308,1,15,2,2,1.79769313486232e+308,14,7,1,3,4,50,2,9
21,8,1,2,1,121,3,1,100,2,1.79769313486232e+308,1,25,2,2,1.79769313486232e+308,20,7,2,3,4,100,2,9
22,1,1,1,1,104,1,1,100,2,1.79769313486232e+308,1,15,2,2,1.79769313486232e+308,16,7,2,3,4,100,2,9
22,3,1,1,1,104,1,1,100,2,1.79769313486232e+308,1,12,2,2,1.79769313486232e+308,18,7,2,3,4,100,2,9
22,4,1,1,1,104,1,1,100,2,1.79769313486232e+308,1,12,2,2,1.79769313486232e+308,17,7,2,4,4,100,2,9
22,5,1,1,1,104,1,1,100,2,1.79769313486232e+308,1,12,2,2,1.79769313486232e+308,17,7,2,3,4,100,2,9
22,6,1,1,1,104,1,1,100,2,1.79769313486232e+308,1,13,2,2,1.79769313486232e+308,16,7,2,4,4,100,2,9
22,7,1,1,1,104,1,1,100,2,1.79769313486232e+308,1,13,2,2,1.79769313486232e+308,16,7,2,4,4,100,2,9
22,8,1,1,1,104,1,1,100,2,1.79769313486232e+308,1,15,2,2,1.79769313486232e+308,16,7,2,3,4,100,2,9
22,9,1,1,1,104,1,1,100,2,1.79769313486232e+308,1,15,2,2,1.79769313486232e+308,17,7,2,4,4,100,2,9
23,1,1,3,2,121,1,1,100,2,1.79769313486232e+308,1,3,2,2,1.79769313486232e+308,20,8,2,25,1,1,3,7
23,2,1,3,1,121,1,1,100,2,1.79769313486232e+308,1,5,2,2,1.79769313486232e+308,27,8,2,30,1,1,2,7
23,3,1,1,1,104,1,2,75,2,1.79769313486232e+308,1,17,2,2,1.79769313486232e+308,23,7,1,3,4,150,3,9
23,5,1,2,1,103,1,1,100,1,6,1,9,2,2,1.79769313486232e+308,28,8,2,40,1,1,2,7
23,6,1,2,1,103,1,1,100,1,6,1,15,2,2,1.79769313486232e+308,5,8,3,50,1,1,3,7
23,7,1,2,1,103,1,1,100,1,6,1,14,2,2,1.79769313486232e+308,26,8,2,40,1,1,3,7
23,9,1,3,1,121,1,1,100,2,1.79769313486232e+308,1,10,2,2,1.79769313486232e+308,18,8,2,200,1,1,1,2
30,7,1,1,1,102,1,1,100,2,1.79769313486232e+308,1,50,2,1,7500,16,7,2,27,4,50,2,5
31,3,1,1,3,121,9,1,100,2,1.79769313486232e+308,1,10,2,2,1.79769313486232e+308,1,7,2,1.5,4,120,2,7
31,4,1,1,1,121,1,1,100,2,1.79769313486232e+308,1,55,2,2,1.79769313486232e+308,5,7,2,20,4,100,3,7
31,5,1,1,1,121,2,1,100,2,1.79769313486232e+308,1,10,2,1,5000,3,7,2,5,4,100,2,5
35,1,1,1,1,103,1,1,100,1,6,2,15,2,1,6000,18,8,2,10,4,50,2,3
35,2,1,2,1,104,2,1,100,2,1.79769313486232e+308,1,1,2,1,400,15,6,2,2,4,50,2,5
35,3,1,1,1,104,4,1,100,2,1.79769313486232e+308,1,3,2,2,1.79769313486232e+308,8,7,2,5,4,50,2,9
35,4,1,1,1,121,1,1,100,2,1.79769313486232e+308,1,8,2,2,1.79769313486232e+308,5,7,2,3,4,50,2,4
35,5,1,2,1,121,1,1,100,2,1.79769313486232e+308,1,30,2,1,18000,10,9,3,4,4,100,1,8
35,6,1,1,1,121,1,1,100,2,1.79769313486232e+308,1,30,2,1,18000,13,7,3,5,4,100,2,9
35,7,1,1,1,120,1,1,100,2,1.79769313486232e+308,1,1,2,1,500,15,8,2,2,4,50,2,7
35,8,1,1,2,120,1,1,100,2,1.79769313486232e+308,2,1,2,2,1.79769313486232e+308,24,7,2,2,4,10,2,4
35,9,1,1,1,121,2,1,100,2,1.79769313486232e+308,1,5,2,2,1.79769313486232e+308,11,7,2,2,4,50,2,9
36,1,1,1,1,103,5,1,100,1,2,2,20,2,1,8000,20,6,2,30,1,1,2,4
36,2,1,1,4,121,2,1,100,2,1.79769313486232e+308,1,20,2,2,1.79769313486232e+308,25,7,2,12,4,50,2,4
36,3,1,1,1,102,1,1,100,2,1.79769313486232e+308,1,10,2,2,1.79769313486232e+308,15,7,2,5,4,50,2,4
36,4,1,1,1,104,1,1,100,2,1.79769313486232e+308,2,30,2,1,8000,15,7,2,10,1,1,2,3
36,5,1,1,2,101,8,1,100,2,1.79769313486232e+308,1,25,2,2,1.79769313486232e+308,1,7,2,3,4,50,2,9
36,6,1,1,2,101,1,1,100,2,1.79769313486232e+308,1,1,2,2,1.79769313486232e+308,20,6,2,10,4,50,1,6
36,7,1,1,1,121,1,1,100,2,1.79769313486232e+308,1,26,2,2,1.79769313486232e+308,26,7,2,3,1,1,3,9
36,8,1,1,1,104,2,1,100,2,1.79769313486232e+308,1,2,2,2,1.79769313486232e+308,30,6,2,1,1,1,3,9
36,9,1,1,1,104,2,1,100,2,1.79769313486232e+308,1,0.25,2,1,300,12,8,2,0.1,11,5,2,9
37,1,1,3,1,121,1,1,100,2,1.79769313486232e+308,1,32,2,2,1.79769313486232e+308,18,7,3,16,4,100,2,5
37,2,1,1,1,121,1,1,100,2,1.79769313486232e+308,1,90,2,2,1.79769313486232e+308,15,7,3,56,4,100,1,1
37,3,1,3,1,104,1,1,100,2,1.79769313486232e+308,1,1,2,2,1.79769313486232e+308,20,7,2,1,4,50,2,5
37,4,1,1,3,121,1,1,100,2,1.79769313486232e+308,1,30,2,2,1.79769313486232e+308,15,7,3,20,4,100,2,7
