"strate","grappe","exploitation","poids_leger","poids_lourd"
1,1,1,237.746078491211,1.79769313486232e+308
1,2,1,531.432434082031,1.79769313486232e+308
1,3,1,207.145111083984,1.79769313486232e+308
1,4,1,118.269622802734,1.79769313486232e+308
1,5,1,157.331970214844,1.79769313486232e+308
1,6,1,122.91633605957,1.79769313486232e+308
1,7,1,112.268974304199,1.79769313486232e+308
1,8,1,138.240005493164,1.79769313486232e+308
1,9,1,133.796493530273,1.79769313486232e+308
1,10,1,169.818618774414,1.79769313486232e+308
1,11,1,289.753051757812,1.79769313486232e+308
1,12,1,144.088531494141,1.79769313486232e+308
1,13,1,151.752807617188,1.79769313486232e+308
1,14,1,115.119163513184,1.79769313486232e+308
1,15,1,60.8187637329102,1.79769313486232e+308
1,16,1,596.791198730469,1.79769313486232e+308
1,17,1,243.275054931641,1.79769313486232e+308
1,18,1,111.096298217773,1.79769313486232e+308
1,19,1,112.144378662109,1.79769313486232e+308
1,20,1,172.946868896484,1.79769313486232e+308
1,21,1,256.472686767578,1.79769313486232e+308
1,22,1,609.224426269531,1.79769313486232e+308
1,23,1,108.536254882812,1.79769313486232e+308
50,25,1,173.028366088867,184.899185180664
50,26,1,425.675872802734,454.8798828125
50,27,1,226.951965332031,242.522277832031
50,28,1,38.8850936889648,41.5528526306152
50,29,1,190.484375,203.552795410156
50,30,1,53.1147766113281,56.7587814331055
50,31,1,232.693313598633,248.657516479492
50,32,1,203.242416381836,217.186111450195
50,33,1,56.6295967102051,60.5147399902344
2,35,1,148.060852050781,1.79769313486232e+308
2,36,1,121.239669799805,1.79769313486232e+308
2,37,1,131.148300170898,1.79769313486232e+308
2,38,1,173.19953918457,1.79769313486232e+308
2,39,1,166.854965209961,1.79769313486232e+308
2,40,1,173.816421508789,1.79769313486232e+308
2,41,1,197.496246337891,1.79769313486232e+308
2,42,1,140.691314697266,1.79769313486232e+308
2,43,1,64.582878112793,1.79769313486232e+308
2,44,1,114.311698913574,1.79769313486232e+308
2,45,3,418.054168701172,446.735290527344
2,46,3,370.527557373047,395.948059082031
2,47,1,157.332229614258,1.79769313486232e+308
2,48,1,243.041076660156,1.79769313486232e+308
2,49,1,185.801849365234,1.79769313486232e+308
2,50,1,159.042358398438,1.79769313486232e+308
2,51,1,132.093505859375,1.79769313486232e+308
2,52,3,179.12760925293,191.416885375977
2,53,3,314.825622558594,336.424621582031
2,54,1,98.0761260986328,1.79769313486232e+308
2,55,1,123.384048461914,1.79769313486232e+308
2,56,1,55.2506523132324,1.79769313486232e+308
3,57,1,46.5736389160156,1.79769313486232e+308
3,58,1,114.329307556152,1.79769313486232e+308
3,59,1,203.457229614258,1.79769313486232e+308
3,60,1,170.583923339844,1.79769313486232e+308
3,61,1,116.434097290039,1.79769313486232e+308
3,62,1,160.679046630859,1.79769313486232e+308
3,63,1,82.0987777709961,1.79769313486232e+308
3,64,1,87.1151504516602,1.79769313486232e+308
3,65,1,51.5692863464356,1.79769313486232e+308
3,66,1,137.53776550293,1.79769313486232e+308
3,67,1,155.999069213867,1.79769313486232e+308
3,68,1,276.167083740234,1.79769313486232e+308
3,69,1,129.579864501953,1.79769313486232e+308
3,70,1,84.0762481689453,1.79769313486232e+308
3,71,1,259.159759521484,1.79769313486232e+308
4,72,1,103.294006347656,1.79769313486232e+308
4,73,1,77.5936737060547,1.79769313486232e+308
4,74,1,181.887283325195,1.79769313486232e+308
4,75,1,189.732482910156,1.79769313486232e+308
4,76,1,182.731430053711,1.79769313486232e+308
4,77,1,429.926422119141,1.79769313486232e+308
4,78,1,545.224914550781,1.79769313486232e+308
4,79,1,204.937255859375,1.79769313486232e+308
