"grappe","exploitation","passage","s9q00","s9q01","s9q02a","s9q02d","s9q02e","s9q02f","s9q03","s9q04","s9q05","s9q06","s9q07","s9q08","s9q09","s9q10","s9q11","s9q12a","s9q12b"
80,6,1,1,1,1,1,80,1.79769313486232e+308,4,1,50,1,1,2,1,1,3,5000,5
80,9,1,1,1,1,1,41,1.79769313486232e+308,1,2,20,2,1,5,1,1,3,200000,5
81,3,1,1,1,1,1,43,1.79769313486232e+308,4,1,27,2,1,5,1,1,4,70000,5
81,6,1,2,9,2,2,64,1.79769313486232e+308,4,2,39,1,2,1.79769313486232e+308,1,1,2,500,5
81,9,1,2,1,10,2,23,1.79769313486232e+308,3,2,53,1,2,1.79769313486232e+308,1,2,3,500,5
84,3,1,1,1,1,1,34,1.79769313486232e+308,1,1,34,1,1,0,1,1,4,15000,5
84,6,1,1,1,2,2,26,1.79769313486232e+308,4,1,33,3,2,1.79769313486232e+308,1,1,3,3000,5
89,6,1,1,1,1,1,50,1.79769313486232e+308,2,1,32,1,1,0,1,1,3,30000,4
90,6,1,1,1,1,1,54,1.79769313486232e+308,2,1,25,1,1,0,1,1,3,30000,2
96,3,1,1,1,1,2,45,1.79769313486232e+308,2,1,30,2,1,2,4,1,3,75000,2
96,9,1,1,1,1,1,33,1.79769313486232e+308,4,1,34,1,1,3,4,1,6,100000,4
97,6,1,1,1,1,1,36,1.79769313486232e+308,4,2,40,5,1,18,5,1,3,100000,5
98,9,1,1,1,1,1,55,1.79769313486232e+308,1,1,42,1,1,1,3,1,3,50000,2
99,9,1,2,1,1,1,82,1.79769313486232e+308,2,1,40,1,1,0,2,1,3,30000,2
100,3,1,1,1,1,1,34,1.79769313486232e+308,2,1,22,1,1,2,6,1,2,30000,1
100,6,1,2,1,2,2,38,1.79769313486232e+308,2,1,26,1,1,5,6,1,3,20000,1
100,9,1,1,1,1,1,33,1.79769313486232e+308,4,1,42,2,1,8,2,1,4,50000,2
101,6,1,1,1,1,1,54,1.79769313486232e+308,4,1,43,1,1,5,2,1,2,30000,2
101,9,1,1,1,1,1,43,1.79769313486232e+308,2,1,26,1,1,4,2,1,4,40000,4
102,3,1,1,1,1,1,53,1.79769313486232e+308,4,1,42,6,1,15,2,1,6,20000,5
103,9,1,1,1,1,1,57,1.79769313486232e+308,2,1,17,1,1,0,1,1,6,100000,2
106,3,1,1,1,1,1,60,1.79769313486232e+308,2,1,19,3,1,0,1,1,3,30000,5
107,6,1,1,1,1,1,71,1.79769313486232e+308,2,1,30,1,1,4,6,1,3,50000,2
107,9,1,1,1,1,1,53,1.79769313486232e+308,4,1,45,1,1,2,4,1,3,150000,4
108,6,1,1,1,1,1,40,1.79769313486232e+308,4,1,37,1,1,2,6,1,6,100000,4
108,9,1,2,1,1,1,72,1.79769313486232e+308,2,1,33,1,1,2,4,1,6,150000,4
110,6,1,1,6,1,1,78,1.79769313486232e+308,2,1,28,4,1,18,2,1,2,200000,4
110,9,1,1,1,1,1,64,1.79769313486232e+308,2,1,38,2,1,10,6,1,6,100000,2
112,3,1,1,1,1,1,52,1.79769313486232e+308,5,1,60,1,1,12,2,1,2,30000,1
112,6,1,2,1,2,2,41,1.79769313486232e+308,2,1,30,2,1,4,2,1,4,30000,2
112,9,1,1,1,1,1,72,1.79769313486232e+308,2,1,42,1,1,6,2,1,2,40000,1
113,3,1,1,1,1,1,68,1.79769313486232e+308,2,1,22,1,1,1,2,1,6,15000,5
113,9,1,1,1,1,1,55,1.79769313486232e+308,2,1,15,2,1,5,6,1,6,30000,4
114,4,1,1,1,1,1,58,1.79769313486232e+308,4,1,49,1,2,1.79769313486232e+308,6,1,2,50000,4
114,5,1,1,1,1,1,28,1.79769313486232e+308,4,1,32,4,1,2,6,1,3,45000,5
114,6,1,1,1,1,1,55,1.79769313486232e+308,2,1,22,6,1,2,6,1,3,260000,5
115,1,1,1,1,1,1,72,1.79769313486232e+308,2,1,31,1,1,5,4,1,3,150000,5
115,2,1,1,1,1,1,50,1.79769313486232e+308,2,1,33,2,1,10,5,1,3,100000,2
115,3,1,2,1,2,2,59,1.79769313486232e+308,2,1,32,5,1,10,2,1,2,30000,5
115,4,1,1,1,1,1,64,1.79769313486232e+308,1,1,48,3,2,1.79769313486232e+308,2,1,3,50000,5
115,5,1,1,1,1,1,73,1.79769313486232e+308,2,1,998,1,1,4,2,1,3,60000,5
115,6,1,1,1,1,1,34,1.79769313486232e+308,5,1,25,1,1,2,3,1,3,50000,5
115,7,1,1,1,1,1,45,1.79769313486232e+308,4,1,36,5,1,4,3,1,3,180000,5
115,8,1,1,1,1,1,79,1.79769313486232e+308,5,1,36,1,1,5,2,1,2,35000,5
116,1,1,1,1,1,1,81,1.79769313486232e+308,2,1,50,2,1,2,5,1,3,50000,2
116,4,1,1,1,1,1,29,1.79769313486232e+308,4,1,32,6,1,2,2,1,3,25000,2
116,7,1,1,1,1,1,74,1.79769313486232e+308,2,1,44,5,1,3,2,1,3,30000,2
116,8,1,1,1,1,1,70,1.79769313486232e+308,2,2,30,4,1,5,2,1,3,15000,1
116,9,1,1,1,1,1,48,1.79769313486232e+308,4,1,52,6,1,3,2,1,6,100000,4
117,1,1,1,1,2,1,39,1.79769313486232e+308,5,2,49,1,2,1.79769313486232e+308,2,1,6,60000,4
117,2,1,1,1,1,1,91,1.79769313486232e+308,2,1,32,3,1,10,2,1,2,75000,5
117,3,1,1,1,1,1,72,1.79769313486232e+308,4,1,54,4,1,6,2,1,2,45000,5
117,4,1,1,1,1,1,39,1.79769313486232e+308,4,2,42,2,1,4,1,1,6,25000,4
117,5,1,1,1,1,2,44,1.79769313486232e+308,2,1,29,2,1,4,1,1,6,50000,5
117,6,1,1,1,2,2,41,1.79769313486232e+308,4,2,35,2,2,1.79769313486232e+308,2,1,6,35000,5
117,7,1,1,1,1,1,48,1.79769313486232e+308,5,1,72,1,2,1.79769313486232e+308,1,1,2,35000,5
117,8,1,1,1,2,2,37,1.79769313486232e+308,4,1,32,4,2,1.79769313486232e+308,2,1,6,30000,5
117,9,1,1,1,1,1,82,1.79769313486232e+308,2,1,51,2,1,10,3,1,2,60000,4
118,1,1,1,1,1,1,67,1.79769313486232e+308,2,2,43,2,1,12,2,1,2,65000,5
118,3,1,1,1,1,1,52,1.79769313486232e+308,2,2,28,2,1,5,2,1,6,30000,5
118,4,1,1,1,3,2,43,1.79769313486232e+308,4,2,35,4,2,1.79769313486232e+308,5,1,3,75000,5
118,5,1,1,1,1,1,53,1.79769313486232e+308,5,1,54,4,2,1.79769313486232e+308,5,1,6,50000,5
118,6,1,1,1,2,1,42,1.79769313486232e+308,4,2,34,2,1,10,2,1,2,40000,5
118,7,1,1,1,1,2,72,1.79769313486232e+308,2,1,41,2,1,12,5,1,2,75000,4
118,8,1,1,1,1,1,67,1.79769313486232e+308,2,1,26,5,1,3,2,1,1,38000,5
118,9,1,1,1,1,2,57,1.79769313486232e+308,2,2,39,2,1,6,2,1,6,47500,5
120,3,1,1,1,1,1,43,1.79769313486232e+308,4,1,40,1,1,3,4,1,3,100000,1
122,6,1,1,1,1,1,73,1.79769313486232e+308,2,2,40,1,1,20,2,1,2,50000,5
124,3,1,1,1,1,1,32,1.79769313486232e+308,4,1,27,1,1,1,1,1,3,20000,5
124,6,1,1,1,14,1,54,1.79769313486232e+308,4,1,45,1,1,15,1,1,4,20000,5
124,9,1,1,1,1,1,55,1.79769313486232e+308,4,1,50,3,1,10,4,1,3,100000,4
125,9,1,1,1,1,1,62,1.79769313486232e+308,5,1,35,1,2,1.79769313486232e+308,4,1,3,50000,4
126,9,1,1,1,1,1,69,1.79769313486232e+308,2,1,41,1,1,8,4,1,3,100000,5
127,6,1,1,1,1,1,49,1.79769313486232e+308,4,1,40,2,2,1.79769313486232e+308,2,1,4,60000,4
130,3,1,1,1,1,1,46,1.79769313486232e+308,1,1,0,1,1,1,4,1,3,50000,4
131,3,1,1,1,1,1,45,1.79769313486232e+308,4,1,26,1,1,1,1,1,3,30000,1
131,9,1,1,1,1,1,33,1.79769313486232e+308,4,1,38,1,1,0,4,1,3,50000,5
135,9,1,1,1,1,1,74,1.79769313486232e+308,2,1,38,1,1,17,4,1,4,100000,2
136,6,1,1,1,1,1,75,1.79769313486232e+308,2,1,38,1,1,20,1,1,3,40000,4
136,9,1,1,1,1,1,35,1.79769313486232e+308,4,2,45,1,1,20,1,1,3,10000,4
137,3,1,1,1,1,1,60,1.79769313486232e+308,2,1,36,1,1,10,4,1,3,20000,5
138,6,1,1,1,1,2,37,1.79769313486232e+308,6,1,40,1,2,1.79769313486232e+308,2,1,2,20000,5
138,9,1,1,1,1,1,70,1.79769313486232e+308,2,2,35,4,2,1.79769313486232e+308,2,1,3,150000,2
139,1,1,1,1,1,1,45,1.79769313486232e+308,4,1,50,6,1,19,6,1,3,60000,2
139,3,1,1,1,1,1,56,1.79769313486232e+308,4,1,38,2,1,0,3,1,3,35000,5
139,4,1,1,1,1,1,46,1.79769313486232e+308,6,1,45,1,2,1.79769313486232e+308,4,1,3,50000,3
139,5,1,1,1,1,1,60,1.79769313486232e+308,5,1,50,2,1,36,4,1,3,5000,3
139,6,1,1,1,1,2,32,1.79769313486232e+308,4,2,30,1,1,0,1,1,3,5000,1
139,7,1,1,1,1,1,61,1.79769313486232e+308,4,1,54,1,1,30,4,1,3,50000,5
141,6,1,1,1,1,1,45,1.79769313486232e+308,5,1,35,1,2,1.79769313486232e+308,5,2,3,15000,5
141,9,1,1,1,1,1,28,1.79769313486232e+308,4,1,38,1,1,3,4,1,3,40000,4
142,3,1,1,1,8,1,47,1.79769313486232e+308,2,1,40,1,2,1.79769313486232e+308,5,2,3,30000,4
142,6,1,1,1,1,1,37,1.79769313486232e+308,4,1,30,1,2,1.79769313486232e+308,4,1,3,20000,3
142,9,1,1,1,1,1,53,1.79769313486232e+308,4,2,42,1,1,23,5,2,3,40000,4
143,3,1,1,1,1,1,70,1.79769313486232e+308,2,1,36,4,2,1.79769313486232e+308,5,1,3,500000,4
143,6,1,1,1,13,2,73,1.79769313486232e+308,5,1,998,1,2,1.79769313486232e+308,5,1,3,50000,5
143,9,1,1,1,1,1,78,1.79769313486232e+308,2,1,998,1,1,5,5,1,3,150000,5
145,3,1,1,1,1,2,35,1.79769313486232e+308,1,1,998,3,1,0,5,1,3,50000,1
149,3,1,1,1,1,1,50,1.79769313486232e+308,4,1,998,2,1,6,5,1,3,100000,1
149,6,1,1,1,1,2,49,1.79769313486232e+308,5,1,998,2,1,0,5,1,3,125000,2
149,9,1,1,1,1,1,48,1.79769313486232e+308,5,1,35,2,2,1.79769313486232e+308,5,1,3,75000,5
150,3,1,1,1,4,2,25,1.79769313486232e+308,4,2,24,1,2,1.79769313486232e+308,5,1,6,10000,3
150,6,1,1,1,1,1,82,1.79769313486232e+308,2,1,30,1,1,2,5,2,3,30000,3
151,6,1,1,1,1,1,67,1.79769313486232e+308,2,1,35,1,1,17,6,2,3,75000,3
151,9,1,1,1,1,1,62,1.79769313486232e+308,2,1,25,1,1,1,6,1,3,10000,1
152,6,1,1,1,1,2,30,1.79769313486232e+308,1,1,43,1,1,3,5,1,3,50000,2
152,9,1,1,2,2,2,25,1.79769313486232e+308,2,1,37,1,1,5,6,1,3,25000,5
153,3,1,1,5,1,1,60,1.79769313486232e+308,2,1,28,1,1,10,5,1,3,50000,3
153,6,1,1,1,1,1,56,1.79769313486232e+308,2,1,34,1,1,2,4,1,3,50000,5
153,9,1,1,6,1,1,50,1.79769313486232e+308,2,1,35,1,1,3,5,1,6,15000,5
155,3,1,1,1,1,2,63,1.79769313486232e+308,2,1,35,1,1,2,5,1,6,100000,1
155,6,1,1,1,1,1,37,1.79769313486232e+308,5,1,998,1,2,1.79769313486232e+308,2,1,4,25000,1
156,3,1,1,1,1,1,48,1.79769313486232e+308,6,1,998,1,2,1.79769313486232e+308,5,1,4,75000,4
156,6,1,1,1,1,1,47,1.79769313486232e+308,6,1,998,1,2,1.79769313486232e+308,5,1,4,60000,4
157,3,1,2,1,1,1,52,1.79769313486232e+308,4,2,55,1,1,7,5,1,3,200000,4
157,6,1,1,1,1,1,54,1.79769313486232e+308,4,1,32,1,1,5,4,1,3,50000,3
157,9,1,1,1,1,1,50,1.79769313486232e+308,1,1,998,1,1,30,6,1,3,40000,3
158,3,1,1,1,1,1,59,1.79769313486232e+308,4,2,998,1,1,0,1,1,3,200000,1
158,9,1,2,1,1,2,55,1.79769313486232e+308,2,1,998,1,1,5,4,1,3,150000,3
159,3,1,1,1,1,1,38,1.79769313486232e+308,4,1,998,1,1,0,6,1,4,50000,5
159,9,1,2,1,1,1,61,1.79769313486232e+308,5,1,998,1,2,1.79769313486232e+308,5,1,3,100000,4
160,3,1,1,1,1,1,40,1.79769313486232e+308,4,1,31,1,2,1.79769313486232e+308,5,1,2,120000,2
160,6,1,1,1,1,1,66,1.79769313486232e+308,4,1,34,1,2,1.79769313486232e+308,5,1,2,150000,2
160,9,1,1,1,1,1,69,1.79769313486232e+308,4,1,31,1,2,1.79769313486232e+308,5,1,2,150000,2
161,3,1,1,1,1,1,73,1.79769313486232e+308,2,1,37,5,2,1.79769313486232e+308,5,1,2,80000,2
161,9,1,1,1,1,1,65,1.79769313486232e+308,2,1,28,1,2,1.79769313486232e+308,5,1,2,100000,2
162,3,1,1,1,1,1,45,1.79769313486232e+308,4,1,29,1,2,1.79769313486232e+308,5,1,2,100000,2
162,9,1,1,1,1,1,40,1.79769313486232e+308,2,1,36,1,2,1.79769313486232e+308,5,1,2,100000,2
163,3,1,1,1,1,1,42,1.79769313486232e+308,4,1,998,1,2,1.79769313486232e+308,5,1,2,150000,2
163,6,1,1,1,1,2,45,1.79769313486232e+308,4,2,32,1,2,1.79769313486232e+308,5,1,2,60000,2
163,9,1,1,1,1,1,47,1.79769313486232e+308,4,1,30,1,2,1.79769313486232e+308,5,1,2,100000,2
164,9,1,1,1,1,1,30,1.79769313486232e+308,1,2,30,1,1,0,2,2,2,30000,2
165,6,1,1,1,1,1,80,1.79769313486232e+308,2,2,36,1,2,1.79769313486232e+308,5,1,2,100000,1
165,9,1,1,1,1,1,85,1.79769313486232e+308,4,1,37,5,1,4,2,1,2,30000,2
166,3,1,1,1,1,1,81,1.79769313486232e+308,2,1,22,2,1,5,4,1,3,200000,4
171,6,1,1,1,1,1,76,1.79769313486232e+308,2,1,40,2,1,5,4,1,3,200000,4
173,6,1,1,1,1,1,76,1.79769313486232e+308,2,1,998,2,1,10,2,1,2,250000,4
173,9,1,1,9,1,1,61,1.79769313486232e+308,2,1,34,4,1,6,2,1,3,500000,4
174,6,1,1,1,1,1,63,1.79769313486232e+308,3,1,36,2,1,7,4,1,3,100000,3
175,9,1,1,1,1,1,40,1.79769313486232e+308,4,1,22,1,1,0,2,3,4,20000,1
177,6,1,1,1,1,1,38,1.79769313486232e+308,4,1,46,1,1,5,2,1,3,50000,2
178,3,1,1,1,1,1,38,1.79769313486232e+308,4,1,32,1,1,10,4,1,3,60000,3
178,6,1,1,4,4,2,20,1.79769313486232e+308,2,2,20,4,2,1.79769313486232e+308,2,1,7,10000,5
179,9,1,1,1,1,1,61,1.79769313486232e+308,1,1,40,1,2,1.79769313486232e+308,6,1,3,20000,4
180,6,1,1,1,1,1,24,1.79769313486232e+308,1,1,25,1,2,1.79769313486232e+308,1,1,7,5000,4
181,3,1,1,1,1,1,76,1.79769313486232e+308,2,2,46,1,1,3,2,1,3,35000,3
182,9,1,1,1,1,1,68,1.79769313486232e+308,2,1,42,2,1,10,3,1,3,50000,3
186,6,1,1,5,5,2,60,1.79769313486232e+308,2,1,29,6,1,5,6,1,5,100000,5
187,6,1,1,4,4,2,64,1.79769313486232e+308,2,2,36,1,2,1.79769313486232e+308,2,1,3,30000,1
187,9,1,1,1,1,2,62,1.79769313486232e+308,2,1,40,1,1,10,3,1,5,20000,1
188,2,1,1,1,1,1,69,1.79769313486232e+308,2,2,38,4,1,98,1,3,6,99999998,4
188,3,1,1,1,1,2,55,1.79769313486232e+308,4,1,68,6,2,1.79769313486232e+308,2,2,6,99999998,1
188,4,1,2,2,2,2,26,1.79769313486232e+308,4,2,30,4,2,1.79769313486232e+308,2,1,3,7500,3
188,6,1,1,1,2,2,31,1.79769313486232e+308,1,1,35,5,1,98,6,1,3,80000,1
189,3,1,1,2,2,2,40,1.79769313486232e+308,4,2,50,5,2,1.79769313486232e+308,2,1,3,20000,2
189,6,1,1,1,2,2,55,1.79769313486232e+308,2,1,30,5,1,6,2,1,3,30000,1
189,7,1,1,11,11,2,43,1.79769313486232e+308,4,2,30,4,2,1.79769313486232e+308,2,3,6,40000,5
