"grappe","passage","exploitation","s6q00","s6q01","s6q02","s6q03","s6q04","s6q05","s6q06","s6q07a","s6q07b","s6q08","s6q09a","s6q09b","s6q09c","s6q10","s6q11a","s6q11b","s6q11c","s6q12","s6q13","s6q14","s6q15","s6q16a","s6q16b"
991,1,8,9,3,4,2,2,3,3,13,13,3,2,1,2,3,2,1,2,4,1,2,3,3,1
991,1,9,3,3,4,5,1,1,1,12,12,0,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,0,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,4,1,2,1,3,4
992,1,1,2,2,14,1,1,1,1,14,14,200,3,0,2,200,3,0,2,3,1,2,1,3,2
992,1,2,1,2,2,5,1,1,2,11,11,0,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,0,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,3,1,2,1,2,3
992,1,3,1,2,4,1,1,1,1,11,11,0,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,0,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1,1,2,1,2,3
992,1,4,2,3,2,5,3,3,2,14,14,110,1,0,1,110,1,0,1,3,1,1,1,3,2
992,1,5,2,3,1,4,3,3,2,14,14,20,0,0,1,20,0,0,1,3,1,1,1,2,3
992,1,6,2,3,1,5,1,3,2,14,14,80,1,0,1,80,1,0,1,3,1,1,1,3,2
992,1,7,2,3,2,2,3,3,2,14,14,120,1,0,2,120,1,0,2,3,4,1,1,2,3
992,1,8,1,2,6,2,3,3,2,14,14,100,1,0,3,100,1,0,3,3,1,2,1,3,2
992,1,9,2,3,2,5,3,3,2,14,14,150,2,0,2,150,2,0,2,3,4,1,1,2,3
993,1,1,2,3,1,5,3,3,2,14,14,500,5,0,2,500,5,0,2,3,1,1,1,3,2
993,1,2,1,3,2,4,3,3,2,14,12,550,4,0,2,550,4,0,2,3,1,1,1,2,3
993,1,3,3,2,6,1,3,3,2,14,14,100,1,0,2,100,1,0,2,3,1,2,1,2,3
993,1,4,3,3,8,2,1,3,2,14,14,400,3,0,1,400,3,0,1,3,1,1,1,2,3
993,1,5,7,2,6,2,1,3,2,14,14,100,1,0,2,100,1,0,2,3,1,2,1,2,3
993,1,6,1,2,3,5,3,3,2,14,14,200,5,0,5,200,5,0,5,3,1,2,1,2,3
993,1,7,7,3,8,2,1,3,2,11,11,0,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,0,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1,1,2,1,3,2
993,1,8,2,3,4,4,3,3,2,14,14,100,5,0,5,100,5,0,5,3,1,1,1,2,3
993,1,9,2,3,3,1,1,3,1,11,11,0,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,0,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,3,1,1,1,2,3
994,1,1,3,3,3,5,1,3,2,14,14,50,5,0,25,50,5,0,5,3,1,2,1,3,2
994,1,2,2,4,3,7,1,3,2,14,14,50,1,1,0,50,1,0,15,3,1,1,1,2,3
994,1,3,1,3,3,1,1,1,1,12,12,0,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,0,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1,1,2,1,2,3
994,1,4,2,3,2,4,1,1,1,11,11,0,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,0,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1,1,1,1,2,0
994,1,5,1,3,2,1,1,3,2,14,14,50,1,0,15,50,1,0,15,3,1,1,7,3,2
994,1,6,1,3,2,5,1,3,2,14,14,60,0,0,30,60,0,0,30,3,1,1,1,3,0
994,1,7,1,3,4,1,1,3,2,14,14,100,0,0,10,100,0,0,5,3,1,1,1,2,3
994,1,8,1,3,2,3,1,3,1,11,11,0,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,0,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,3,1,1,1,2,3
994,1,9,1,4,4,3,1,3,2,14,14,60,1,1,0,60,1,0,28,3,1,1,1,2,3
995,1,1,2,4,2,5,1,3,2,14,14,20,1,0,59,20,1,0,25,3,1,1,1,3,0
