"grappe","exploitation","passage","s5q01","s5q02","s5q03","s5q04","s5q05","s5q06","s5q07","s5q08","s5q09","s5q10","s5q11"
29,8,1,1,1,2,2,1,2,2,2,2,2,2
29,9,1,2,2,2,2,2,2,2,2,2,1,2
30,1,1,1,2,2,2,2,2,2,2,2,1,2
30,2,1,1,2,2,2,2,2,2,2,2,1,2
30,3,1,8,1,2,1,1,1,1,2,2,1,2
30,4,1,2,2,2,2,1,2,2,2,2,1,2
30,5,1,2,2,2,1,1,2,2,2,2,2,2
30,6,1,1,1,2,2,1,2,2,2,2,2,2
30,7,1,1,2,2,2,1,1,2,2,2,2,2
30,8,1,1,2,2,2,1,2,1,2,2,2,2
30,9,1,1,2,2,2,1,1,2,2,2,2,2
31,1,1,1,2,2,2,2,2,2,2,2,2,2
31,2,1,2,2,2,2,1,2,2,2,2,2,1
31,3,1,9,1,2,2,1,2,2,2,2,2,2
31,4,1,1,2,2,2,2,2,2,2,2,2,2
31,5,1,2,2,2,2,2,2,2,1,2,2,2
31,6,1,2,2,2,2,2,2,2,2,2,2,2
31,7,1,2,2,2,2,1,2,2,2,2,2,2
31,8,1,2,2,2,2,2,2,2,2,2,2,2
31,9,1,2,2,2,2,1,2,2,2,2,2,1
32,1,1,1,1,2,2,2,2,2,2,2,1,1
32,2,1,1,1,2,2,2,2,2,2,2,2,1
32,3,1,2,1,2,2,2,2,2,2,2,2,2
32,4,1,1,2,2,2,2,2,2,2,2,2,2
32,5,1,1,1,1,1,1,1,2,2,2,1,1
32,6,1,1,1,2,2,2,2,1,2,2,2,2
32,7,1,8,2,2,2,2,2,2,2,2,2,2
32,8,1,1,1,2,2,2,2,2,2,2,2,2
32,9,1,1,2,2,2,2,2,2,2,2,2,2
33,1,1,2,2,2,2,2,2,2,1,2,2,1
33,2,1,2,2,2,2,2,2,2,2,2,2,2
33,3,1,1,2,2,2,2,2,2,2,2,2,2
33,4,1,1,1,1,2,2,2,2,2,2,2,2
33,5,1,1,2,2,2,2,2,2,2,2,2,2
33,6,1,1,1,2,2,2,2,2,2,2,2,2
33,7,1,3,1,1,2,2,2,2,1,2,2,1
33,8,1,6,1,2,1,1,2,2,1,2,1,2
33,9,1,1,2,2,2,2,2,2,2,2,2,2
35,3,1,4,2,2,2,2,2,2,2,2,2,2
35,6,1,1,2,2,2,2,2,2,2,2,2,2
35,9,1,2,2,2,2,2,2,2,2,2,2,2
36,3,1,2,2,2,2,2,2,2,2,2,2,2
36,6,1,1,2,2,2,2,2,2,2,2,2,2
36,9,1,2,2,2,2,2,2,2,2,2,2,2
37,3,1,1,2,2,2,2,2,2,2,2,2,2
37,6,1,1,2,2,2,2,2,2,2,2,2,2
37,9,1,1,2,2,2,2,2,2,2,2,2,2
38,3,1,1,2,2,2,2,2,2,2,2,2,2
38,6,1,1,2,2,2,2,2,2,2,2,2,2
38,9,1,1,2,2,2,2,2,2,2,2,2,2
39,3,1,1,2,2,2,2,2,2,2,2,2,2
39,6,1,1,2,2,2,2,2,2,2,2,2,2
39,9,1,1,2,2,2,2,2,2,2,2,2,2
40,3,1,1,2,2,2,2,2,2,2,2,2,2
40,6,1,1,2,2,2,1,2,2,2,2,2,1
40,9,1,1,2,2,2,2,2,2,2,2,2,2
41,3,1,1,2,2,2,2,2,2,2,2,2,2
41,6,1,17,2,2,2,2,2,2,2,2,2,2
41,9,1,1,2,2,2,2,2,2,2,2,2,2
42,3,1,1,2,2,2,2,2,2,2,2,2,2
